Var Par Value,Seed,KSIM,AWACE
0.04,7,0.009714708389867906,0.0036173061603310182
0.04,8,0.015926057750054439,0.0033495281166420541
0.04,9,0.0089180241227933468,0.0034822507126067897
0.05,0,0.0082343516285676606,0.0047034540000942034
0.05,1,0.0095532126251129737,0.0045984235608250478
0.05,2,0.0073788494642735326,0.0043711781161187785
0.05,3,0.011023764813113585,0.0046891767720209383
0.05,4,0.019972225167023058,0.0048065954343711409
0.05,5,0.011003742383242096,0.0049678303365597622
0.05,6,0.01567493636805075,0.0049328358755334418
0.05,7,0.013178958209914883,0.0049059595809257924
0.05,8,0.015688211368686717,0.004662919422064947
0.05,9,0.010500526844389076,0.0046388261272168252
0.06,0,0.012585992864776732,0.0056918842062826606
0.06,1,0.011210327693863452,0.0057022895680064207
0.06,2,0.0073201228641025448,0.0054491614392150394
0.06,3,0.015487902432853799,0.0054496488656907037
0.06,4,0.02139124615288519,0.0057814659355298345
0.06,5,0.011681555167495847,0.0059809999749857621
0.06,6,0.015245236395390311,0.00585596048526669
0.06,7,0.017162632198958794,0.005761438752317681
0.06,8,0.017695259816423128,0.0055917497023272927
0.06,9,0.013716466849656177,0.0055386265261264415
0.07,0,0.017670990520515736,0.0063447879795421333
0.07,1,0.014044726384688167,0.0066399735433143106
0.07,2,0.010137664897274311,0.0067864252088808853
0.07,3,0.016762092842024592,0.0066003317918639408
0.07,4,0.020390443340016509,0.0067016773582017084
0.07,5,0.01322036092503874,0.0069813377855757171
0.07,6,0.018108630409130719,0.0068079614537090776
0.07,7,0.018964533678749763,0.0067513714103192325
0.07,8,0.020090246673029478,0.0067327218155667111
0.07,9,0.018588576199242351,0.006879531739630889
0.08,0,0.019567001090467804,0.0078698023135034684
0.08,1,0.014708714522287548,0.0077656807468812813
0.08,2,0.014058689114394911,0.0081206602206922787
0.08,3,0.019966470872930894,0.0078010768299623312
0.08,4,0.026453317262362611,0.0078627942415390919
0.08,5,0.013864697168602908,0.0079513222774059804
0.08,6,0.020495301208707566,0.0080492568842724776
0.08,7,0.019612346753125818,0.0081486586873293215
0.08,8,0.022955314539603984,0.0080253968850647981
0.08,9,0.021178736289043067,0.008315238667599107
0.09,0,0.022793194653988373,0.0091374350625672927
0.09,1,0.019706300761926653,0.0095844243295099291
0.09,2,0.018228446985656656,0.009604686880997226
0.09,3,0.01951863878754689,0.0090265224541437369
0.09,4,0.027498957201645427,0.0093633463749553045
0.09,5,0.01760315087869865,0.0092895938833970852
0.09,6,0.021963951760716121,0.0094643810182482649
0.09,7,0.022004577518856049,0.009654890292157851
0.09,8,0.023322178819089798,0.0092676282260489035
0.09,9,0.021924291883051183,0.0094537535673704775
0.1,0,0.026163652412608335,0.010624855428988129
0.1,1,0.022640282345725519,0.011197149607912082
0.1,2,0.021141528012347418,0.010864767457526498
0.1,3,0.020998417377566365,0.010599781053793016
0.1,4,0.030784941782511357,0.01073864046915669
0.1,5,0.020172275510687364,0.010779306952279265
0.1,6,0.02528364749144929,0.011154424771448287
0.1,7,0.024301344771577967,0.010873581451315792
0.1,8,0.027261524689748684,0.010639871932289553
0.1,9,0.022321373761670552,0.011093244779986902
0.11,0,0.025357094815506746,0.012391684404736217
0.11,1,0.021572609386985103,0.012898041916502768
0.11,2,0.02771288227384695,0.012299488769475212
0.11,3,0.026263111031077167,0.012057701214601915
0.11,4,0.031169245754071716,0.01233541050707708
0.11,5,0.023952655146841764,0.012563098141811783
0.11,6,0.029236193290020925,0.012401768412764969
0.11,7,0.027958494193253469,0.012504325690022161
0.11,8,0.027000069362241669,0.012037110791321588
0.11,9,0.026419367725669871,0.012308360752301002
0.12,0,0.028792807850357875,0.014102075573978299
0.12,1,0.027165395062636002,0.014205276409065834
0.12,2,0.033289895819212129,0.013916309488859406
0.12,3,0.029850052739345812,0.013848917613071153
0.12,4,0.0348665927303611,0.013776118571272854
0.12,5,0.029630110720470917,0.014214062361872249
0.12,6,0.031080720749233626,0.014217141443095476
0.12,7,0.031430218553814539,0.014030624236564848
0.12,8,0.03065449320166674,0.013902271477398255
0.12,9,0.029327255805438695,0.013801153796100226
0.13,0,0.031837004388301088,0.015622247700925809
0.13,1,0.032041281622691604,0.015802324974436552
0.13,2,0.036535204185907305,0.015668964118815687
0.13,3,0.033008916891343526,0.014891516699453567
0.13,4,0.035556201744955371,0.01526665038324233
0.13,5,0.031074575532916135,0.01590109198425517
0.13,6,0.033399317178679985,0.015581537395567236
0.13,7,0.032163164568520336,0.015671336306264889
0.13,8,0.03020251784934494,0.015572208103682107
0.13,9,0.030862332155402482,0.015334806845046229
0.14,0,0.036452803989316905,0.017246853215636272
0.14,1,0.033812092079146726,0.017218372143703656
0.14,2,0.037429664888562759,0.017266967746129829
0.14,3,0.034454179435850094,0.016701921572028339
0.14,4,0.03748096125764281,0.016902946292968669
0.14,5,0.035813728847940846,0.017373694111048745
0.14,6,0.037417738101473801,0.01731022881062769
0.14,7,0.034369067564485899,0.017283190921031245
0.14,8,0.033761331971575236,0.017043419458127488
0.14,9,0.032668282943772262,0.017190896437951336
0.15,0,0.038546247500008374,0.018527746938870424
0.15,1,0.038001058873383231,0.018679720069652263
0.15,2,0.041532414653948288,0.018757763806149918
0.15,3,0.035659548373022959,0.018100943447590858
0.15,4,0.042456677283248694,0.018148877334818379
0.15,5,0.038517821366670861,0.018590017609197863
0.15,6,0.036433567846758858,0.018633040806543766
0.15,7,0.039282159900962808,0.018679159827726374
0.15,8,0.034932282393462223,0.018416897837837232
0.15,9,0.030785986272775637,0.018670180446974497
0.16,0,0.037372974589034137,0.020089594367928943
0.16,1,0.041571550777396243,0.020116556192437476
0.16,2,0.044483936061273335,0.020130409103073961
0.16,3,0.037762797637257955,0.019568470490216455
0.16,4,0.041744149712332472,0.019378563132524843
0.16,5,0.03969376810608663,0.019890105439371579
0.16,6,0.040597587798016005,0.020114231648748562
0.16,7,0.038655498148677518,0.019938984750478596
0.16,8,0.037374768747070797,0.019769317947159963
0.16,9,0.03404901821418712,0.020012873034148521
0.17,0,0.037704988682548804,0.021175242182201338
0.17,1,0.039285907686755522,0.02126315792595572
0.17,2,0.045004462776734012,0.021436032101006156
0.17,3,0.039861382168495559,0.02099093470415133
0.17,4,0.044206416185034882,0.020708437409319883
0.17,5,0.041456059062279477,0.021452096641365506
0.17,6,0.042689903383184555,0.02158568982134669
0.17,7,0.038122487633551333,0.021108305573510615
0.17,8,0.038458529308578009,0.021046422268693375
0.17,9,0.035185074706833193,0.021361443286135103
0.18,0,0.039403127347664609,0.022117064159542218
0.18,1,0.043460079395765003,0.02243904522365445
0.18,2,0.045666295694369023,0.022744547747669989
0.18,3,0.039243684177281739,0.022374018920857597
0.18,4,0.044259304205588337,0.022371407242224389
0.18,5,0.042832375327805844,0.023059069557328431
0.18,6,0.043091325927079503,0.022875215656601857
0.18,7,0.040865168109897099,0.022370131064216016
0.18,8,0.039119734741902654,0.022530420816820107
0.18,9,0.035383142721592875,0.022601663467209168
0.19,0,0.041209785126733012,0.023413658873321291
0.19,1,0.043990284119587914,0.02375446513103811
0.19,2,0.045120213815699917,0.024078275274171286
0.19,3,0.039469337874923766,0.023723559976184052
0.19,4,0.044507275714833684,0.024089906771840641
0.19,5,0.044474823514692959,0.024323793555617975
