Key,Kappa,KSIM,AAWCE
2000-0,0.92372093768053876,0.080410490731706794,0.01604080547634161
2000-1,0.92399532279679575,0.078808343433901321,0.016281099347987559
2000-2,0.92468128558743834,0.083955352713125153,0.015767000716518913
2000-3,0.92511858686647319,0.079918532058960642,0.015417941735220249
2000-4,0.92541869558737921,0.084966082431470441,0.015858316001431515
2000-5,0.92380668302936897,0.078263552857979854,0.016334088320827285
2000-6,0.92593316768036127,0.093517048801619929,0.016015141515792048
2000-7,0.92438975140141533,0.083386808344340244,0.016105487782906686
2000-8,0.92508428872694104,0.08394080267054338,0.015621960427951803
2000-9,0.92378953395960284,0.074999613971030166,0.015721189216219029
2000-10,0.92493852163392931,0.079781322949148997,0.015760081089924442
2000-11,0.92478418000603479,0.083394333357287714,0.015894841806357342
2000-12,0.92439832593629834,0.080689153710757966,0.015538751804351715
2000-13,0.92374666128518779,0.078102155279793792,0.016067527165892905
2000-14,0.92414108988980725,0.084162023945600253,0.016227939658050382
2000-15,0.92460411477349091,0.085811423710370399,0.015803511291722281
2000-16,0.92463841291302329,0.079682962133429056,0.015678576358553339
2000-17,0.92412394082004123,0.079026221210781983,0.015631082260659467
2000-18,0.92376381035495381,0.081466166635518977,0.016058535348718671
2000-19,0.92450122035489479,0.083234691585262532,0.016210646833003516
2000-20,0.924861350819982,0.084052685383984485,0.015616377731941579
2000-21,0.92393530105261434,0.083387530855194167,0.015810650797942374
2000-22,0.92380668302936897,0.076020415075615702,0.015607058121548459
2000-23,0.92386670477355026,0.073239847389056562,0.015211127464813236
2000-24,0.92463841291302329,0.078978509104852074,0.016002479085708187
2000-25,0.92456981663395876,0.08068956228097468,0.015535920186734447
2000-26,0.9249299470990463,0.084713492486090919,0.01579699814036227
2000-27,0.92358374512241026,0.077203420836408077,0.016251948221895303
2000-28,0.92495567070369555,0.079886164968892087,0.015198351325377155
2000-29,0.92467271105255533,0.08406843128281101,0.015930293969564375
2000-30,0.92498996884322748,0.086387099177204024,0.015890538204574929
2000-31,0.92414966442469026,0.076360715194907544,0.015987129045461599
2000-32,0.92476703093626877,0.080748253021413807,0.015347364231027933
2000-33,0.92419253709910576,0.084388021690342777,0.015990794080879934
2000-34,0.92479275454091781,0.083364951612361543,0.015746922525399481
2000-35,0.92504999058740878,0.083831750432114036,0.01593212018265508
2000-36,0.92458696570372523,0.084788809497156739,0.015617043838242304
2000-37,0.92472415826185361,0.080415229147670325,0.016092894165696019
2000-38,0.92475845640138576,0.081881482811004561,0.016115862878501138
2000-39,0.92460411477349125,0.08408885241633729,0.016231764698824046
2000-40,0.92471558372697071,0.082553059053534633,0.01535791331642144
2000-41,0.92395245012238081,0.073815364187090948,0.015271810872528109
2000-42,0.92433830419211704,0.084232368414997663,0.016245716661802325
2000-43,0.92406391907585983,0.076271243686534887,0.015859672378770218
2000-44,0.92504999058740878,0.080218211350133073,0.015557790647324316
2000-45,0.92405534454097715,0.082730725750299286,0.016077592871607423
2000-46,0.9246469874479063,0.085910324212799746,0.015973089319855801
2000-47,0.92407249361074328,0.077763211372805799,0.01589789108742564
2000-48,0.92400389733167876,0.076376071221071776,0.015711654930028952
2000-49,0.92411536628515822,0.072724122843588507,0.015704916673960768
