Case study,Year,Seed,Kappa,KSIM,AAWCE
Berlin,2000,0,0.92992032640097166,0.0082343516285676606,0.0047034540000942034
Berlin,2000,1,0.92980885744749198,0.0095532126251129737,0.0045984235608250478
Berlin,2000,2,0.92948302512193681,0.0073788494642735326,0.0043711781161187785
Berlin,2000,3,0.92961164314518241,0.011023764813113585,0.0046891767720209383
Berlin,2000,4,0.93074348174974264,0.019972225167023058,0.0048065954343711409
Berlin,2000,5,0.9302290096567607,0.011003742383242096,0.0049678303365597622
Berlin,2000,6,0.93053769291254973,0.01567493636805075,0.0049328358755334418
Berlin,2000,7,0.93030618047070812,0.013178958209914883,0.0049059595809257924
Berlin,2000,8,0.93028903140094188,0.015688211368686717,0.004662919422064947
Berlin,2000,9,0.9296888139591295,0.010500526844389076,0.0046388261272168252
Berlin,2000,10,0.93022043512187769,0.01350616767928038,0.0045136832674003841
Berlin,2000,11,0.92994605000562081,0.012007547919618462,0.0047448739597286804
Berlin,2000,12,0.93023758419164382,0.013037816185024313,0.0046817671769264768
Berlin,2000,13,0.92968023942424649,0.011569320743280468,0.00474072237822933
Berlin,2000,14,0.930297605935825,0.015595597328606926,0.0047213133924207951
Berlin,2000,15,0.92992032640097178,0.010947419421776575,0.0044234248126379799
Berlin,2000,16,0.93007466802886618,0.010962888058483018,0.0046861297434854909
Berlin,2000,17,0.9298860282614394,0.0092248599818278258,0.004972802698569331
Berlin,2000,18,0.92968881395912972,0.011847867667780471,0.004513949753435738
Berlin,2000,19,0.92993747547073768,0.011142221191371373,0.0047897473938069866
Berlin,2000,20,0.92947445058705369,0.011881903823397719,0.0044897401910074962
Berlin,2000,21,0.92986887919167338,0.0085226825133936854,0.0045716138033467767
Berlin,2000,22,0.92956019593588435,0.009700834785680644,0.0046670040712557771
Berlin,2000,23,0.92971453756377853,0.0099337888287137632,0.0047748249357451164
Berlin,2000,24,0.93017756244746264,0.013194798544056875,0.0047494466382407242
Berlin,2000,25,0.93014326430793037,0.012223884088716908,0.0048037436104525592
Berlin,2000,26,0.92951732326146885,0.011521795125553671,0.004613914689183601
Berlin,2000,27,0.9300232208195679,0.010051260804599125,0.004899991159827896
Berlin,2000,28,0.9300232208195679,0.014299202461736734,0.0048190616477079128
Berlin,2000,29,0.92986030465679048,0.011916435517256125,0.004798438859257354
Berlin,2000,30,0.92952589779635186,0.010986387283761714,0.0045551803781949673
Berlin,2000,31,0.93011754070328134,0.012063841748618371,0.0046698229558449524
Berlin,2000,32,0.92937155616845735,0.0064756486389668279,0.0047224146157902741
Berlin,2000,33,0.93003179535445091,0.014793582776966694,0.0046722836478965794
Berlin,2000,34,0.92955162140100134,0.0079664017973445321,0.0047351341708794957
Berlin,2000,35,0.92990317733120542,0.01127245699501212,0.0049151049380310903
Berlin,2000,36,0.92976598477307693,0.010185392474955203,0.0048363483723687754
Berlin,2000,37,0.92971453756377886,0.011014536769901717,0.0043447083074078388
Berlin,2000,38,0.93039192581953822,0.014529519681263705,0.0050615400005784563
Berlin,2000,39,0.9304262239590706,0.013796830981756334,0.0049554517826308417
Berlin,2000,40,0.93013468977304736,0.011134908068268496,0.0050078278214830147
Berlin,2000,41,0.93024615872652683,0.012479884103090351,0.0045275214327780118
Berlin,2000,42,0.92987745372655639,0.0086184012139542028,0.0046568001919003784
Berlin,2000,43,0.92950874872658584,0.0096117267370204075,0.0049282860071867924
Berlin,2000,44,0.92937155616845735,0.011606850374838282,0.0041362513559574316
Berlin,2000,45,0.92991175186608854,0.011246146253988967,0.0049211527771044882
Berlin,2000,46,0.93003179535445091,0.009792328416959371,0.0050698054961714444
Berlin,2000,47,0.9299717736102695,0.012742068398594633,0.0048891046480361378
Berlin,2000,48,0.93036620221488919,0.015193224753875408,0.0047095095660354119
Berlin,2000,49,0.92973168663354488,0.011152078400822789,0.0044422704310007151
Berlin,2006,0,0.96560851463147579,0.01239408117958643,0.0033795221556194052
Berlin,2006,1,0.96558288759319832,0.013429210757819427,0.0036276850094091513
Berlin,2006,2,0.96540349832525518,0.014535100455073426,0.0037144746313896404
Berlin,2006,3,0.96555726055492075,0.0092752191782336582,0.0035207818989724088
Berlin,2006,4,0.96564268401584619,0.014156915204112072,0.0033812994719287998
Berlin,2006,5,0.9657110227845862,0.014080031502311319,0.0036366271746473416
Berlin,2006,6,0.96550600647836538,0.012313230248346374,0.0036451437167919396
Berlin,2006,7,0.9655999722853833,0.012523320293114659,0.0036983541836275329
Berlin,2006,8,0.96569393809240123,0.01269082317248226,0.0035984299498524521
Berlin,2006,9,0.96552309117055057,0.0094688833644096387,0.0034551452727200377
Berlin,2006,10,0.96583915797597408,0.018206829903318917,0.0035162198503342424
Berlin,2006,11,0.96540349832525518,0.010405267099906643,0.0035084634448618104
Berlin,2006,12,0.96529244782605228,0.0081037575502493717,0.0036348285557165788
Berlin,2006,13,0.96577936155332622,0.016787569228855805,0.0036941309204820824
Berlin,2006,14,0.96532661721042234,0.011333101175067384,0.0036564371932445916
Berlin,2006,15,0.96578790389941871,0.015809810158623532,0.0034624623806876072
Berlin,2006,16,0.96577936155332655,0.019276099175031317,0.0036961508769167459
Berlin,2006,17,0.96562559932366077,0.016487980395145194,0.0034614902941301454
Berlin,2006,18,0.96580498859160413,0.015349776265538406,0.0035878798921669093
Berlin,2006,19,0.96558288759319832,0.012058723959065652,0.0036692174879401967
Berlin,2006,20,0.96584770032206657,0.016564708661622397,0.0036682983300469056
Berlin,2006,21,0.96595020847517676,0.019825009552134162,0.003664966357012456
Berlin,2006,22,0.96541204067134767,0.0097919876474702079,0.0035240708446215743
Berlin,2006,23,0.96553163351664328,0.012025300606620371,0.0035955161028171922
Berlin,2006,24,0.96563414166975325,0.014547311228172113,0.0037252820720767139
Berlin,2006,25,0.96565122636193834,0.012636873763872323,0.0035783964377923568
Berlin,2006,26,0.96553163351664328,0.014738479364898137,0.0037677692345235931
Berlin,2006,27,0.96554017586273544,0.01275208720550408,0.0035868240057523211
Berlin,2006,28,0.96556580290101324,0.013082159147499241,0.0036636884252035096
Berlin,2006,29,0.96546329474790282,0.013381019317469109,0.0037434695107966837
Berlin,2006,30,0.96580498859160413,0.019312796198323007,0.0035381008049610407
Berlin,2006,31,0.96556580290101324,0.010332841413166273,0.0033030411633622335
Berlin,2006,32,0.96551454882445809,0.012465413602103598,0.003497794850564835
Berlin,2006,33,0.96561705697756828,0.014479473547152252,0.0035653086601315806
Berlin,2006,34,0.96513868559638682,0.007591393126593877,0.0034691193111122038
Berlin,2006,35,0.96536932894088523,0.0094652237061199646,0.0035980676785515079
Berlin,2006,36,0.96580498859160413,0.016723126534322723,0.0034383452649936011
Berlin,2006,37,0.9657110227845862,0.015273284604712473,0.0033622627338064414
Berlin,2006,38,0.96558288759319832,0.011584892935310944,0.0039230450042139027
Berlin,2006,39,0.96554871820882826,0.016497378332381275,0.0035849551848823411
Berlin,2006,40,0.96539495597916269,0.011707053420664425,0.0033768387755528932
Berlin,2006,41,0.96555726055492075,0.011682954894527741,0.003566087287619635
Berlin,2006,42,0.96562559932366077,0.011810636676322539,0.0036548711863033617
Berlin,2006,43,0.96540349832525518,0.00940443028556095,0.0036298325665887993
Berlin,2006,44,0.9655999722853833,0.015097043865486569,0.0032931252999883879
Berlin,2006,45,0.96591603909080681,0.016594982109313563,0.003578504490864273
Berlin,2006,46,0.96542912536353276,0.012747962266700207,0.0034943392893892139
Berlin,2006,47,0.96565122636193867,0.01401532206344591,0.0034377192226793321
Berlin,2006,48,0.96565122636193867,0.013917717927093608,0.0034957467396441685
