Case study,Year,Seed,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Berlin,2000,25,0.909478635,0.042887759,0.518177053,0.768587322,0.836158186,0.75452711,0.664954247,0.723272406,0.696394496,0.667585749,0.765837752,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,26,0.910370387,0.046175256,0.530896571,0.767744595,0.8450145,0.753009269,0.663399511,0.722355461,0.697024819,0.664303382,0.76524374,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,27,0.909307145,0.043313553,0.534883286,0.768418777,0.839479304,0.755855222,0.663399511,0.723367262,0.696394496,0.669376131,0.76577025,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,28,0.910156023,0.036994567,0.528998136,0.767463687,0.84612154,0.752667755,0.663399511,0.723556975,0.694923743,0.668182543,0.765891753,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,29,0.909470061,0.041180442,0.52387236,0.76757605,0.850549697,0.754185596,0.66521337,0.722671649,0.696604604,0.667884146,0.765405743,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,30,0.910327514,0.045976931,0.530706728,0.768559231,0.852763775,0.753464622,0.672468808,0.722924599,0.697024819,0.664303382,0.764825231,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,31,0.910250343,0.046961201,0.531655946,0.768180004,0.827301872,0.754299434,0.667286352,0.722956218,0.693032774,0.664601779,0.765783751,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,32,0.90967585,0.047566024,0.521594237,0.76884014,0.843907461,0.754982463,0.669359335,0.722703267,0.699966326,0.665198573,0.765500245,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,33,0.909530082,0.04689992,0.526909857,0.768559231,0.829515951,0.752933377,0.664436002,0.723209168,0.698075357,0.667884146,0.765527245,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,34,0.909787318,0.044584062,0.544755151,0.767997413,0.8450145,0.755210139,0.661067406,0.722829743,0.695554066,0.664601779,0.765203239,0.449710844,1,0.806928654,0.593557977,0.641362101,0
