theta_si value,KSIM avg.,KSIM_err,CLU avg,CLU_err
0.0,-0.0024240988790339641,0.0025975089951311577,0.018601322493196071,0.00030381433159277875
0.01,0.001659637066325896,0.0034918065372414268,0.010123963328263964,0.00047453477907974818
0.02,0.0063630830666071472,0.0041749508519171941,0.0036679279432681551,0.00035023075128684219
0.03,0.0086488277776137004,0.0038299414748424643,0.0018649523581787605,0.00034527352047923198
0.04,0.010611040121018657,0.0050035930815363287,0.0034610385007414236,0.00021126991252222601
0.05,0.012220877887237433,0.0062966878513747628,0.0047277199225730883,0.00029832611022049182
0.06,0.014349674243640601,0.0070355616443913225,0.0056803225455748525,0.00026591926788536134
0.07,0.016797826586971036,0.0051263892213710988,0.0067226120086604614,0.00031827490301679189
0.08,0.01928605888215271,0.0062943100468798516,0.0079909887754250151,0.00027477896035891288
0.09,0.021456368925117576,0.0049479031614733885,0.0093846662089396068,0.00031418391900705708
0.1,0.024106898815589285,0.0053063331359119968,0.010856562390469622,0.00029868427705953288
0.11,0.026664172297951531,0.0047983181835433066,0.012379699060061471,0.0004304655625905901
0.12,0.030608754323253745,0.0038505988338625487,0.014001395097127861,0.00022051143591131101
0.13,0.032668051611806269,0.0031663431682811827,0.015531268451168955,0.00050478764240080142
0.14,0.035365985107976734,0.0024063391569352742,0.017153849070925327,0.00033588626951020287
0.15,0.037614776446424199,0.0058353455052365284,0.018520434812536159,0.00032841017927952992
0.16,0.039330604979133224,0.0052174589235431078,0.019900910610608891,0.00037592298527455888
0.17,0.040197521159399535,0.0049096940349504098,0.021212776191368569,0.00043862620601340351
0.18,0.041332423764894669,0.005141576486388074,0.022548258385612419,0.00047100269889310646
0.19,0.042539368773879822,0.0051063623220580744,0.023969419583469383,0.00063389562029858224
0.2,0.042826514102423746,0.0044863330872655059,0.025784580833299715,0.00053559897450603834
0.21,0.043773285614739157,0.0042047408185482589,0.027668383040962551,0.0003932062905311496
0.22,0.043505002317117118,0.0045043285672175318,0.030081140125309862,0.00044607582361417229
0.23,0.044020290324860198,0.0046334097340116551,0.032762751743584818,0.00075731802838805568
0.24,0.045461765726161826,0.0045049623409516362,0.03563855301747039,0.00062602543121152709
0.25,0.045697593831443048,0.0045750799654910544,0.038688932959996578,0.00060010078224239163
0.26,0.045454836286462512,0.0052328619869966946,0.041914274194204813,0.00063526546899135908
0.27,0.045643651721954913,0.0055003190333359209,0.045123544413148718,0.00068631141963017631
0.28,0.045616105294266955,0.0047154537645058628,0.048416345697985246,0.00087082992998534919
0.29,0.044704250924124403,0.0050870221101112049,0.05204626111861823,0.00074533587787636857
0.3,0.045363202480070794,0.0040021470992105852,0.055557123435001056,0.00056972368509360105
0.31,0.044924871618972177,0.0037008185298801899,0.059264882740408809,0.00052733624826742029
0.32,0.044659162315797404,0.0035436088860683959,0.062951413554377819,0.00056132783402582445
0.33,0.044664418760334203,0.0036653772115994333,0.066791665254581731,0.00083259347015164631
0.34,0.044662784539738556,0.0041699331035358958,0.070685746262578758,0.00077338424110022508
0.35000000000000003,0.044098311945041033,0.0047249845922971156,0.074488095600386578,0.00066297471699323929
0.36,0.04392709034636072,0.0039923052614995666,0.078091775588200282,0.00071482256884941586
0.37,0.044116906354844596,0.0041346028498049567,0.081760745211007221,0.00094061710164126261
0.38,0.043943147215189646,0.003837436445321328,0.085409865682948796,0.00097628719010686704
0.39,0.043331952156730399,0.0036663734628021097,0.088861727756582742,0.0009700659600453479
0.4,0.043018104089753137,0.0033233868356350345,0.092298560930301185,0.001176144178201631
0.41000000000000003,0.042854212716332232,0.0032141404565559362,0.095524114220503151,0.0010867011843006952
0.42,0.042390891035444293,0.0030286324502314076,0.098595019457462837,0.0010721541045947899
0.43,0.041830941189862109,0.0033394136474553665,0.1017268187984752,0.0013425554477229512
0.44,0.041574947727465436,0.0025099541588844941,0.10470296652154334,0.0012144763787923021
0.45,0.041497038493426862,0.0022120415229330039,0.10748603959765582,0.0010990272423370764
0.46,0.041312952152609474,0.0020217866287687326,0.11027260952522674,0.00097672892152157048
0.47000000000000003,0.040679470267393547,0.0023816577428269863,0.11282871011606901,0.00075807217421662576
0.48,0.040331287453765845,0.0031320023362646499,0.11539034664640357,0.00068967575855752306
0.49,0.040374654453991091,0.002985779165919418,0.11763273536719343,0.00093477680907599198
0.5,0.0400601284924402,0.0029753893964434459,0.11997784740229386,0.00085265798885699601
