theta_si value,KSIM avg.,KSIM_err,CLU avg,CLU_err
0.0,0.037700821522785248,0.0026943400573217757,0.024981679633363611,0.00061431446697426603
0.01,0.040037481148136045,0.0040167080560127855,0.025268165633239092,0.00052107249696304106
0.02,0.042293646939066676,0.0039133064859969875,0.025606113835802441,0.00054074871049249532
0.03,0.043222326903291843,0.0048464247083796139,0.025912136536380387,0.00050703937305832114
0.04,0.044561473851371644,0.0059821029645896681,0.026274299815887768,0.00054951429504340558
0.05,0.045752826241386477,0.0065479437210033478,0.026675312084342474,0.00063489634035713075
0.06,0.046633042362608054,0.0077716655096283158,0.027349555287308442,0.00057604353903439008
0.07,0.048445367041116322,0.0071349812947495601,0.027981979567690968,0.00054566307359292
0.08,0.049461565798493465,0.0075230844668246651,0.028750346884619953,0.00041268786097153898
0.09,0.049786652876842377,0.0061466433662657818,0.029508969334104612,0.00061018900569035674
0.1,0.050644149674956708,0.0059494788694150688,0.030283578808565824,0.00065318827510015172
0.11,0.051011847884436315,0.0056830076789731697,0.03114191720247227,0.00064221045313152952
0.12,0.051062182547001157,0.0045727760521668305,0.031887037322381032,0.00061642827440742953
0.13,0.051130823703513038,0.0045420304711952415,0.032431452567242731,0.00055303840503427917
0.14,0.05099731997764155,0.0041427693116029007,0.033114990017979858,0.00061327184732674206
0.15,0.050896767099785155,0.0047434532776590606,0.033595490530298186,0.00060475044365462804
0.16,0.050517159556141188,0.0042461841491532246,0.034055266678598178,0.00031764671581618192
0.17,0.049669279699632966,0.0066761417743803619,0.03450394700452758,0.00041033093020535413
0.18,0.047983063031987488,0.0058818386068232552,0.034751081397559058,0.00062617999743054889
0.19,0.047756908490272358,0.0054234561971519615,0.035115016929450481,0.00068191201705634918
0.2,0.046850222960818318,0.0055788510548150753,0.035380295886698311,0.0007541128425096813
0.21,0.046937070348454568,0.0047938964499696507,0.035694087170302757,0.00063140077580536857
0.22,0.04547049122978894,0.0036500153597469991,0.035914898945111781,0.00073557813740532038
0.23,0.045425566541195769,0.0050457031373832666,0.036014142365721299,0.00086769738459867296
0.24,0.043517600835232831,0.0047419417904492854,0.036065990377749144,0.00091193326299352645
0.25,0.042339501684603618,0.0037742782992701805,0.035935703697725377,0.0008153742393852241
0.26,0.041656104663174681,0.0040475077192216116,0.035568079947796219,0.00083679965725753924
0.27,0.041002584060993878,0.0035663180425813436,0.035070312173759645,0.00095189812342199795
0.28,0.040016841403012593,0.0017609992744358482,0.034448787570357436,0.0011772326086512373
0.29,0.039525902974843333,0.0033734585666978512,0.033463953016431507,0.0012281280027694914
0.3,0.038344783093543236,0.0038480507950390055,0.032237026489124666,0.00067526206701346708
