Case study,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Berlin-clumpiness-1990,0.6767584186990836,0.73147085203336659,0.75273839980454282,0.6835899933590639,0.5907543766890011,0.69643586339316421,0.63852895380295815,0.62478035569830981,0.75701052870817276,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin-clumpiness-2000,0.66959926301089423,0.73212535831099468,0.70442051163896136,0.68360597420716851,0.57452039758477624,0.69415150580079887,0.63147124330217308,0.63506047701385293,0.75785908996877971,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin-clumpiness-2006,0.66069207851809575,0.73245613187032366,0.70533732920006853,0.67928425365010803,0.59386103424461734,0.69717038938133746,0.62933085558372781,0.63645607964752415,0.75755310022323752,0.38451956806462545,0.7692163452523475,0.81881619231611014,0.65606977060671146,0.63897568363538793,0.0
Budapest-clumpiness-1990,0.59892530201659999,0.70696370699032229,0.66406147370342794,0.56079188103359623,0.53288691101173224,0.72425965973453732,0.58750866211725439,0.61478630915491961,0.71300786794858295,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest-clumpiness-2000,0.59960196486897843,0.70927890265739457,0.64768620174935732,0.55414576612652588,0.52654643322490691,0.72490213165216466,0.58742683272736651,0.61476866912631345,0.71284352215367364,0.41971051474647331,0.6998912105638293,0.89280170546180826,0.5456188418180119,0.62274802933697859,0.0
Budapest-clumpiness-2006,0.61414422831354809,0.7100755593126139,0.65787660181863361,0.55580640015161664,0.53719020261425554,0.73069791037855858,0.59844695550333615,0.61340223220827073,0.71243694660775647,0.42018179874215023,0.70516180726598454,0.8925320174974628,0.54959797407750155,0.63613574049395505,0.0
Madrid-clumpiness-1990,0.75137096387127511,0.80462285199370942,0.71188113653322271,0.57648703558751357,0.75708249774534164,0.74229354216939147,0.65877440763869011,0.76944401504281734,0.72505330676967383,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid-clumpiness-2000,0.75356724958398114,0.79987299708883375,0.71253276906278384,0.56759576036022952,0.75867848727196496,0.75958170627297972,0.68154483658084841,0.74500799222007008,0.72549000045136713,0.48435735435853844,0.0,0.90636319722731806,0.670642644296781,0.53234360391356483,0.0
Madrid-clumpiness-2006,0.7536340591833226,0.7907289408453122,0.70668394573825255,0.67783250050168986,0.75518665244820249,0.75986451374116559,0.6847093885445189,0.69925434355770033,0.72704095677750524,0.44198030315266867,0.0,0.93454915326205479,0.63713487089511001,0.57620750230457429,0.0
Rome-clumpiness-1990,0.68856897275129569,0.76043090921945977,0.74363712572003549,0.64064490863799672,0.62418005350445827,0.68670472471670796,0.57625318694613359,0.63833833331241296,0.70787296270455458,0.66176489321654119,0.39464603901111484,0.86587552880599372,0.6079036184705402,0.70461041013260139,0.99442533646613152
Rome-clumpiness-2000,0.68893284224963247,0.75655306009733347,0.7434880526487665,0.63877078700452905,0.62475778061154241,0.68920014676296226,0.59754915947259524,0.639794683363615,0.70769948742307009,0.66176489321654119,0.39464603901111484,0.8651929175435995,0.62669832475926657,0.70588825163762214,0.99442533646613152
Rome-clumpiness-2006,0.68643520060531871,0.74206411308333631,0.73589481357699382,0.60014122115189417,0.62736559625258759,0.68927388289656444,0.60189358458153475,0.64623090043837095,0.70217362040756148,0.47154751255762745,0.41850652413873918,0.88132327762587215,0.6156223001068436,0.70588825163762214,0.994423583577555
