Case study,It.,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Berlin,0,0.96466031421520504,0.0070459696051641671,0.47644295529447989,0.72239564476221063,0.70311345998648411,0.68917252273477592,0.60268055575939217,0.69537177650176429,0.63982911021861144,0.63890327133276903,0.75845745064552039,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,1,0.96475428002222263,0.0092336126399107151,0.4840799300146576,0.72214094888605596,0.70311345998648411,0.68939640807254199,0.60488543613808587,0.69537177650176429,0.64164611582849507,0.63455270833677824,0.75841695734303005,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2,0.96473719533003799,0.0098408069037514805,0.47156377700103297,0.7226927899510579,0.70311345998648411,0.6892471511806979,0.60753129259251837,0.69518244883023017,0.64083855777965792,0.64107855283076431,0.75840345957553335,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,3,0.96464322952302006,0.0090157044380070259,0.47538226436112185,0.7227918383473404,0.70311345998648411,0.68902326584293183,0.60488543613808587,0.69521400344215256,0.6396272207064021,0.63944709170726777,0.75837646404053971,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,4,0.96470302594566759,0.0076331323646281861,0.47771578441450951,0.72249469315849313,0.70200152537969196,0.68954566496438607,0.60532641221382455,0.69524555805407484,0.64104044729186727,0.63944709170726777,0.75838996180803664,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,5,0.96471156829176008,0.0058914271701677994,0.48259496270795638,0.72255129224208314,0.70311345998648411,0.68939640807254199,0.60400348398660841,0.69527711266599723,0.64144422631628584,0.63672798983477363,0.75849794394801062,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,6,0.96437841679415159,0.0062163270992051812,0.46541176958755642,0.72231074613682589,0.70311345998648411,0.68950835074142502,0.60532641221382455,0.69530866727791962,0.6412423368040765,0.63999091208176662,0.75840345957553335,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,7,0.9645834331003722,0.0044837866569940312,0.48577703550803047,0.72143346034118172,0.70422539459327638,0.68950835074142502,0.60356250791086963,0.69524555805407484,0.64104044729186727,0.63672798983477363,0.75845745064552039,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,8,0.96445529790898421,0.0073542868286031546,0.47326088249440579,0.72133441194489922,0.69977765616610754,0.68894863739700984,0.60510592417595521,0.6953402218898419,0.64104044729186727,0.64162237320526316,0.75840345957553335,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,9,0.96453217902381716,0.0072544399522316543,0.47814006078785271,0.72180135438451631,0.70311345998648411,0.68958297918734701,0.60466494810021643,0.69527711266599723,0.64003099973082078,0.63971900189451725,0.75841695734303005,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
