Case study,It.,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Berlin,0,0.92594174221524417,0.0036359793329308644,0.47451303502167963,0.72241995890835731,0.22950065955324736,0.68812155217182991,0.54964461084186422,0.70038040617888664,0.65584372664136792,0.6284957431580106,0.76018113705427082,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,1,0.92586457140129697,0.0034218791013970675,0.47185522522771411,0.72239186802730759,0.25606960232727327,0.68869074267157726,0.55404969807758819,0.69946346145317828,0.65290222003146514,0.63356849204661603,0.7601406362330122,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2,0.92577882605246675,0.0027193653139762465,0.47470287857839139,0.7223356862652085,0.22507250242424304,0.68789387597193108,0.55508618919187624,0.69892594213121129,0.65500329618139574,0.63327009505316856,0.76032964006555215,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,3,0.92570165523851933,0.00085128879326236211,0.46198336027869946,0.72376832119873813,0.24167809165800927,0.68944966333790669,0.55612268030616419,0.69933698631859775,0.65122135911152068,0.63147971309248441,0.76030263951804655,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,4,0.92642191616869407,0.0097127783321944248,0.46786851053676587,0.72286941300515084,0.25496256304502218,0.68865279663826073,0.55508618919187624,0.70044364374617685,0.64764952965663858,0.62939093413835268,0.76027563897054073,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,5,0.92547014279667739,-7.4321446082658315e-05,0.45173180821626108,0.72251827699203086,0.23835697381125603,0.68865279663826073,0.5519767158490122,0.69927374875130754,0.65374265049143732,0.63714925596798466,0.76031613979179935,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,6,0.92632759628498063,0.0032180276421956027,0.46976694610388409,0.72261659507570442,0.25274848448052006,0.68850101250499474,0.54990373362043621,0.69930536753495265,0.65017082103655544,0.63028612511869486,0.76041064170806927,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,7,0.92633617081986375,0.001705303291259146,0.47375366079483233,0.72208286833576196,0.26049775945627762,0.68732468547218384,0.55094022473472426,0.69958993658775881,0.65206178957149286,0.62819734616456324,0.76035664061305785,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,8,0.9262332764012674,0.0035063787463572864,0.47432319146496776,0.72184409584684028,0.24167809165800927,0.68869074267157726,0.55094022473472426,0.69927374875130754,0.6468090991966664,0.6270037581907737,0.76019463732802361,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,9,0.92584742233153094,0.0024272806886944079,0.45685758424748024,0.72102946029640202,0.22507250242424304,0.68778003787198161,0.55301320696330025,0.69955831780411359,0.64743942204164562,0.6284957431580106,0.76022163787552932,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
