Case study,Year,Seed,Kappa,KSIM,AAWCE
Budapest,2000,0,0.90301220179130404,0.067869352357848078,0.012268623075576027
Budapest,2000,1,0.90304732003090149,0.067959455959545959,0.011877664857969091
Budapest,2000,2,0.90254688511663561,0.063381107599033981,0.012453260127884461
Budapest,2000,3,0.90298586311160589,0.067540466916801351,0.011628463927791639
Budapest,2000,4,0.90266979895522714,0.067501499176844545,0.012493317280023099
Budapest,2000,5,0.90318779298929197,0.069251021631077936,0.012397186289831975
Budapest,2000,6,0.90258200335623318,0.067906038941306174,0.012579883870220345
Budapest,2000,7,0.90302098135120323,0.067700007160230571,0.012246080774053963
Budapest,2000,8,0.90317901342939255,0.068667530064338664,0.012460421093089084
Budapest,2000,9,0.90333704550758187,0.068900845329581267,0.012418685901645445
Budapest,2000,10,0.90299464267150498,0.066067995019978648,0.011937848757427415
Budapest,2000,11,0.90274881499432191,0.067012423507706836,0.012226108258099763
Budapest,2000,12,0.90249420775723921,0.064836349334914126,0.012214950825254103
Budapest,2000,13,0.90326680902838674,0.069022233785515336,0.012201291146829633
Budapest,2000,14,0.90212546624146428,0.059485785142514527,0.011969689438727307
Budapest,2000,15,0.90238885303844618,0.066285080737391228,0.012386082982626095
Budapest,2000,16,0.90260834203593132,0.064429934406519868,0.012604892362691479
Budapest,2000,17,0.90238007347854698,0.064283091301992903,0.012481407339620883
Budapest,2000,18,0.90274881499432191,0.064298257266667172,0.011827219867105351
Budapest,2000,19,0.90238885303844629,0.06488935167972959,0.011763809851478926
Budapest,2000,20,0.90316145430959371,0.067422878410967932,0.011691756015252835
Budapest,2000,21,0.90330192726798419,0.069358241230577572,0.011803130335106686
Budapest,2000,22,0.90300342223140462,0.066828633128687656,0.012785770046315406
Budapest,2000,23,0.90274881499432191,0.066287709110562087,0.012176395225013511
Budapest,2000,24,0.90260834203593143,0.064134673261719899,0.012881168233948881
Budapest,2000,25,0.90257322379633365,0.064276319224928366,0.011996692016778946
Budapest,2000,26,0.90311755651009651,0.06819647418686299,0.012233006220321814
Budapest,2000,27,0.90297708355170614,0.068365641547586925,0.011812116867019015
Budapest,2000,28,0.90241519171814466,0.06510531561856836,0.011777860800138415
Budapest,2000,29,0.90286294927301403,0.066450038217367752,0.011855737592655471
Budapest,2000,30,0.90319657254919117,0.069252563657287936,0.012424346307229751
Budapest,2000,31,0.90292440619230996,0.066980460961907434,0.012429480494866064
Budapest,2000,32,0.90287172883291344,0.06697473330392742,0.01207021254443754
Budapest,2000,33,0.90343362066647526,0.071844247965152583,0.011587155716336884
Budapest,2000,34,0.90267857851512656,0.065192691059299812,0.012858366396475583
Budapest,2000,35,0.90345117978627398,0.073879459407049097,0.012471484352496552
Budapest,2000,36,0.90303854047100218,0.069376427478657021,0.012509079355111821
Budapest,2000,37,0.90302976091110276,0.068577125512686007,0.011952221343163085
Budapest,2000,38,0.90359165274466446,0.072076465770894216,0.012226293297948056
Budapest,2000,39,0.9031965725491915,0.067649694362393473,0.011774640811761628
Budapest,2000,40,0.90301220179130404,0.066871380707872699,0.011480043402655935
Budapest,2000,41,0.90284539015321508,0.066840575725346157,0.011966822580267811
Budapest,2000,42,0.90360043230456377,0.071932736961828461,0.012538921931258992
Budapest,2000,43,0.90360043230456377,0.072331763040911892,0.011771857500138011
Budapest,2000,44,0.90274003543442249,0.066309434492617725,0.012561766458659097
Budapest,2000,45,0.90312633606999593,0.06652067129722089,0.012332070458623671
Budapest,2000,46,0.90285416971311483,0.067366865275752863,0.012529540513051518
Budapest,2000,47,0.90304732003090149,0.068205007109233121,0.012452740959869457
Budapest,2000,48,0.90334582506748129,0.071270372341347102,0.01200059880568435
Budapest,2000,49,0.90339850242687758,0.069461892824775565,0.012093441007191447
Budapest,2006,0,0.88458008364668472,0.047810321072020719,0.015866515996548008
Budapest,2006,1,0.88475585447795435,0.04903234590364703,0.015689048469482002
Budapest,2006,2,0.88509860759893033,0.052627128554760302,0.01687888879933953
Budapest,2006,3,0.88494920239235131,0.049992968543360695,0.016169086562137273
Budapest,2006,4,0.88456250656355762,0.052117584442228936,0.016116157872404432
Budapest,2006,5,0.88451856385574035,0.047290550570654774,0.01629731534521224
Budapest,2006,6,0.88344636178499425,0.050933712455523986,0.016393227458753996
Budapest,2006,7,0.88448340968948613,0.047973355805943634,0.01620510925288967
Budapest,2006,8,0.88496677947547819,0.051251718434298578,0.016600342626211382
Budapest,2006,9,0.88487889405984321,0.047804945391811494,0.016239690515923368
Budapest,2006,10,0.88420217635945453,0.045709528473615008,0.016241894024403267
Budapest,2006,11,0.88404398261131167,0.046232703026526323,0.016123394623380326
