Case study,Year,Seed,Kappa,KSIM,AAWCE
Budapest,2000,0,0.90612894555559176,0.065946104965477051,0.0064933804291101181
Budapest,2000,1,0.90611138643579292,0.065784344161150324,0.0062412447608171601
Budapest,2000,2,0.90579532227941439,0.06190875834938693,0.0063748860218946421
Budapest,2000,3,0.90638355279267435,0.067254748097583361,0.0064388421987680335
Budapest,2000,4,0.90651524619116541,0.068249038063209963,0.0065230177878633586
Budapest,2000,5,0.90606748863629594,0.06493522747126837,0.0060620702317973774
Budapest,2000,6,0.90626941851398213,0.06654990424789195,0.0063552009171478187
Budapest,2000,7,0.90627819807388144,0.066071658079830675,0.0065552943258382042
Budapest,2000,8,0.90621674115458561,0.065918511447726327,0.0062348522083111972
Budapest,2000,9,0.90622552071448526,0.065669954633287023,0.0064226788397003546
Budapest,2000,10,0.90602359083679884,0.065488912592116949,0.0064315310974777827
Budapest,2000,11,0.90640111191247319,0.068579514247697995,0.0064463689331555312
Budapest,2000,12,0.90633087543327795,0.066226188492403165,0.0062314636010611284
Budapest,2000,13,0.9059972521571007,0.064350644171119437,0.0064098261534468789
Budapest,2000,14,0.90590067699820731,0.062245296520558394,0.0060924650606106572
Budapest,2000,15,0.90631331631347911,0.066420132042149541,0.0062817599950240862
Budapest,2000,16,0.90602359083679895,0.064298206475845956,0.006053913493038264
Budapest,2000,17,0.90608504775609489,0.064828538042758954,0.0060683672580115347
Budapest,2000,18,0.90606748863629605,0.065392509370484062,0.0063141068054103685
Budapest,2000,19,0.90644500971197006,0.067582944213423576,0.0059428877985724755
Budapest,2000,20,0.90643623015207087,0.067746894387615691,0.0062111040069344342
Budapest,2000,21,0.90641867103227192,0.06689233919628601,0.0063461018463558594
Budapest,2000,22,0.90606748863629594,0.064265945784158354,0.0067371866699369324
Budapest,2000,23,0.90614650467539037,0.065296314310109807,0.0067347589459317804
Budapest,2000,24,0.9056548493210238,0.060388479314546516,0.0067237134246755275
Budapest,2000,25,0.90590067699820742,0.063443982644606711,0.0063771725140233711
Budapest,2000,26,0.90627819807388177,0.066664168989893385,0.0062514483324367081
Budapest,2000,27,0.90600603171699989,0.064355678889263149,0.0060461060876039214
Budapest,2000,28,0.90587433831850894,0.06263234938937047,0.0063960062500612678
Budapest,2000,29,0.90653280531096414,0.068699221290871873,0.0062004325536868009
Budapest,2000,30,0.90637477323277493,0.066879283527006256,0.0061372111913665121
Budapest,2000,31,0.90607626819619513,0.064654999532982524,0.0065257329525668243
Budapest,2000,32,0.90626063895408271,0.065233057304784972,0.0060870609593690755
Budapest,2000,33,0.90661182135005891,0.069152557223747954,0.0062086788057309945
Budapest,2000,34,0.90585677919871033,0.063293159374267383,0.006233741588100479
Budapest,2000,35,0.90637477323277493,0.067613902346492144,0.0061632623716454957
Budapest,2000,36,0.90649768707136669,0.068291038191881037,0.0061667069892792133
Budapest,2000,37,0.90617284335508874,0.065533765075597369,0.0062250632059808577
Budapest,2000,38,0.90658548267036043,0.068063393274738981,0.006301829018876509
Budapest,2000,39,0.90607626819619513,0.064483936010811219,0.0064168255138322824
Budapest,2000,40,0.90640989147237272,0.067748944434427291,0.0062754300348159498
Budapest,2000,41,0.90608504775609489,0.06378042149136777,0.0064445998691450559
Budapest,2000,42,0.90673473518865044,0.071306138309205069,0.0060934261573043656
Budapest,2000,43,0.90659426223025985,0.069567955893003339,0.0062936034665622637
Budapest,2000,44,0.90633087543327806,0.066914201969871537,0.0070508655368292936
Budapest,2000,45,0.90611138643579281,0.064681292432920909,0.0069753928686083124
Budapest,2000,46,0.9059972521571007,0.064747497291190323,0.0064331087289703917
Budapest,2000,47,0.9062957571936805,0.066475094502356252,0.0062863454245049421
Budapest,2000,48,0.90635721411297632,0.067844114740729072,0.0062725558598463469
Budapest,2000,49,0.90588311787840836,0.062731903179969933,0.0063752619102994531
Budapest,2006,0,0.89130331794275475,0.039071343999947501,0.011801698749633332
Budapest,2006,1,0.89126816377650031,0.037641723757334739,0.011258302705013781
Budapest,2006,2,0.89162849398060373,0.0420009652754555,0.011694681254940375
Budapest,2006,3,0.8917691106456197,0.041602711923725361,0.011518064556834563
