theta_si value,KSIM avg.,KSIM_err,CLU avg,CLU_err
0.015,0.0014295154355594088,0.0030662139020060041,0.001839970657411482,0.00012873545586778281
0.016,0.0014505977150574478,0.0030465941597048792,0.0018515845747596037,0.00012461832623140436
0.017,0.0017987438728885937,0.0024849212196156345,0.0018649111209702851,0.00016282259635731528
0.018000000000000002,0.0017627418755486921,0.0024493698315313792,0.0018362919080656282,0.00015527776530816146
0.019,0.0022654973316693196,0.0029810761094983783,0.0018477953186879805,0.00020168073340747633
0.02,0.003251971444262669,0.0024478108391894431,0.001852450814129577,0.00017143037299085552
0.021,0.0033631878728505636,0.002149983486501905,0.0018487248440442736,0.00018666827280878161
0.022,0.0049668081981714745,0.0021503284883682837,0.0018500278031892234,0.00016895894161787751
0.023,0.0064957073117110336,0.0039665319663999372,0.0018789304169943631,0.00020969163176907458
0.024,0.0069531365387177036,0.0050254307404292977,0.0019611509496216652,0.00025177551018465015
0.025,0.0083770431801241906,0.0055082367965608734,0.002073654696361611,0.00034489491722060914
0.026000000000000002,0.0098848828167924976,0.0057522979431033957,0.0022113708571764841,0.00032901383815351585
0.027,0.01125459549144687,0.0057189223170509545,0.0023435090319956975,0.00035806360669728208
0.028,0.012331563659233779,0.0076481886919477094,0.0025120455349787463,0.00029134646536971027
0.029,0.014530139798178701,0.0065449996939191783,0.0027363471209425421,0.00019112499898732817
0.03,0.016921864830554318,0.0059722599250006322,0.0029657896923129348,0.0001459381250291361
0.031,0.01791751256859743,0.004788153792718782,0.0032036241641293052,0.00015714282840989286
0.032,0.019900122801880561,0.0051270393918998632,0.0034394263377778831,0.00011006540884024346
0.033,0.022075229866409172,0.0034182646802971874,0.0037108065332422577,0.00010811859673582063
0.034,0.022968885257780697,0.0049771063498993458,0.0039710358444944088,0.00016401325522843015
0.035,0.023000568164292079,0.0040949414089254278,0.0042200123379617727,0.00014810056872068813
0.036000000000000004,0.023782213797262169,0.0047717865133488999,0.004484574989822885,0.00020564823968050429
0.037,0.024148761898144588,0.0054853688721161267,0.0047774275604215658,0.00015770588061470026
0.038,0.023763159316146719,0.0045594928470648489,0.0050898969755536917,0.00020104921966228404
0.039,0.023281964907435858,0.0036502675920189048,0.0054412950976088347,0.00014540648481325882
0.04,0.0227287185384683,0.0044992944113391442,0.0057870280615787192,0.00016484928175786347
0.041,0.021758258503139824,0.0039832481919196659,0.0061637065845453597,0.0001666256702233292
0.042,0.021127194718070501,0.0050345018077335574,0.0065064086465049424,0.00017841272795850356
0.043000000000000003,0.020676256201574199,0.003812568836244647,0.0069090240585095442,0.00023837861594395819
0.044,0.020410868262047511,0.0049746303406224095,0.0072836587288287093,0.00022404358787608434
0.045,0.019389773593708505,0.005871648782500901,0.0076811364569975699,0.00025045019391444585
0.046,0.018926104892893147,0.0047257765811304798,0.0081024947937591817,0.0003170024295010049
0.047,0.018379404263354229,0.0046132613476958899,0.0085667535973241796,0.00025361051695467658
0.048,0.017392503371663866,0.0046817351400320001,0.0090913978534641528,0.00024193350890612444
0.049,0.017106339897401669,0.004847367107168433,0.0095731594058902723,0.0002686018586925687
0.05,0.016730453017079462,0.0047288637820048583,0.010082092786801854,0.00031858280521353255
