Key,Kappa,KSIM,AAWCE
2000-0,0.98785205197195869,0.046254366736239116,0.004464857935893846
2000-1,0.98788200992024,0.045905616245924756,0.004462455407677984
2000-2,0.9878969888943806,0.05203231254394864,0.0044820025211114523
2000-3,0.98806924709699773,0.055614865965895564,0.0044801973782876512
2000-4,0.98800933120043521,0.052028150476597146,0.0046306434663138064
2000-5,0.9879269468426618,0.044317752809562343,0.0044613844085218011
2000-6,0.9879494153038727,0.051131570003684366,0.004441985974190682
2000-7,0.98805426812285713,0.055525953710099198,0.0045999748231111692
2000-8,0.98788200992024,0.041361825840570736,0.0045026141959123604
2000-9,0.9878894994073103,0.042544060778262879,0.0044634519973207514
2000-10,0.98791945735559161,0.04423994984474057,0.0044618487024118917
2000-11,0.98782958351074779,0.037715684507431971,0.004493303376153359
2000-12,0.98800184171336503,0.052486920802937903,0.0044189563919366532
2000-13,0.98797937325215401,0.048468335308887334,0.0044199058491276059
2000-14,0.98794941530387281,0.044448953190051238,0.0045577753799451622
2000-15,0.98797188376508371,0.046755099113398993,0.0045675431592391898
2000-16,0.9878969888943806,0.043096237437281235,0.0044580002801782271
2000-17,0.9879344363297321,0.047160651277704309,0.0044706249583966601
2000-18,0.98813665248063043,0.057040190411578977,0.0044976652369946787
2000-19,0.98797937325215401,0.050741758121046469,0.0045123777216966553
2000-20,0.9879643942780133,0.044482842781108763,0.0044429264618636053
2000-21,0.98808422607113844,0.057367487979136683,0.0042643048808740968
2000-22,0.98784456248488872,0.044003146828917782,0.0046020832190395485
2000-23,0.9878969888943806,0.045857299556961578,0.004606581807187652
2000-24,0.98802431017457593,0.053725795437859429,0.0045420530802263099
2000-25,0.98802431017457593,0.052108158377141695,0.0044238871958911146
2000-26,0.9879643942780133,0.046744911294698079,0.0044005886363222982
2000-27,0.98790447838145101,0.039720136307614506,0.0045580520491005881
2000-28,0.98808422607113844,0.055693420468735023,0.0044879561540028057
2000-29,0.9878745204331697,0.042423734670319679,0.0044207078385370881
2000-30,0.98784456248488839,0.039485595873036961,0.0045411736684141833
2000-31,0.98809171555820874,0.059015996701606753,0.004334041760554787
2000-32,0.987956904790943,0.048931818858258057,0.0044981398655199283
2000-33,0.98797188376508371,0.052917600503744264,0.0043419109185288841
2000-34,0.9878220940236776,0.041142040256499375,0.0046232795852938699
2000-35,0.98783707299781809,0.036676551916899183,0.0046068504637532762
2000-36,0.98800184171336514,0.052457569013941212,0.0044859712379444255
2000-37,0.9879269468426618,0.048819368489225815,0.0044611460771971255
2000-38,0.98797188376508371,0.055126682699177504,0.0045648380254322569
2000-39,0.9879269468426618,0.045443308383690741,0.0046667993341658583
2000-40,0.98800933120043544,0.053626786917979501,0.0044482562250834886
2000-41,0.98805426812285713,0.059343266818412968,0.0044899401802263412
2000-42,0.9879494153038727,0.050553422642807384,0.0045060930559148822
2000-43,0.9878520519719588,0.037272207344737678,0.0044639715183843551
2000-44,0.98797937325215401,0.050690203010923328,0.0044737798948680614
2000-45,0.9879643942780133,0.044996018928508019,0.0045046494059349691
2000-46,0.9877621781271152,0.042019414056325886,0.0045175404470335391
2000-47,0.98785954145902899,0.041838114305835401,0.0045595107903621829
2000-48,0.98789698889438071,0.043108623877556942,0.0046560807258959743
2000-49,0.98783707299781809,0.03781115180039249,0.0044350210793893336
