Var Par Value,Seed,KSIM,AWACE
0.0,0,-0.00083984184491551778,0.0062356411836953594
0.0,1,0.0014447577413580347,0.0061504311555674856
0.0,2,-0.00088822575705232651,0.0061215606407021891
0.0,3,-0.0020081983433312602,0.0061065873404468375
0.0,4,0.0049430422770059025,0.0063175747553140026
0.0,5,0.0008891392310438202,0.0062500029741508764
0.0,6,-0.000746828121926195,0.0062628615046804214
0.0,7,0.00027411479018841866,0.0062244936046221703
0.0,8,0.0015134747487453785,0.0062570925598084588
0.0,9,0.00027533057506679053,0.006272056148395406
0.01,0,0.0032641962871961363,0.00268361643368417
0.01,1,-0.00017843154468236505,0.0026722972334430094
0.01,2,0.0043992152202632501,0.002402923662527015
0.01,3,-0.00018441925312756539,0.0026923950818628271
0.01,4,0.006105517752800038,0.0027120662709232352
0.01,5,0.0027019970748536552,0.0025348021767307083
0.01,6,0.00042881104710683511,0.002584011914192452
0.01,7,0.0038819310209785487,0.0024349986028724055
0.01,8,0.0021654281861214655,0.0025458715883114689
0.01,9,0.003289113607274317,0.002470225796295366
0.02,0,0.001210336916994136,0.0016568137514148251
0.02,1,0.0038974528776403159,0.0018732615408544938
0.02,2,0.0028231253224077165,0.0019902655559945913
0.02,3,0.0044275487059633649,0.0018362769573673323
0.02,4,0.0044636656688309389,0.0017053218832144416
0.02,5,0.00062486006745540354,0.0019557910452295798
0.02,6,0.0028172579953711055,0.0019996744973965362
0.02,7,0.00552048174583429,0.001687306874131266
0.02,8,0.0033857917828373084,0.001886123104904317
0.02,9,0.0033491933592921107,0.0019336729307883847
0.03,0,0.012156224676936719,0.0027780913803972305
0.03,1,0.018054963082016075,0.0029313189195534022
0.03,2,0.020850647355035643,0.0030511014620314045
0.03,3,0.018277017402182415,0.0029908683688745974
0.03,4,0.015857726189458167,0.0029134233582064689
0.03,5,0.015704600908118049,0.0029715502639039385
0.03,6,0.022138196085878446,0.0030440570943068967
0.03,7,0.021692015063641924,0.0030699676304555027
0.03,8,0.01429358130639855,0.0029972460389770298
0.03,9,0.010193676235877181,0.0029102724064228726
0.04,0,0.022772287685150262,0.0057566028677588808
0.04,1,0.023132484486518744,0.0057536289207269576
0.04,2,0.023265284157648555,0.0058484228619364873
0.04,3,0.022184710222577821,0.0057557895546035158
0.04,4,0.0246771505418686,0.0058354422861803716
0.04,5,0.020022737876709024,0.0058840936745856894
0.04,6,0.026288415168496088,0.0059548398037218998
0.04,7,0.026611092530240691,0.0056251412402061728
0.04,8,0.020720519007910769,0.0057342153511932515
0.04,9,0.017612503707562403,0.0057221040548739678
0.05,0,0.020533917429883263,0.010407165058093366
0.05,1,0.012536288350893977,0.010062303755720231
0.05,2,0.018001760527804438,0.010168475882128677
0.05,3,0.014923251677614574,0.0099797254557955541
0.05,4,0.021994015914903693,0.009899567930679672
0.05,5,0.016795342635230092,0.010156893237279481
0.05,6,0.014213887442531811,0.01018318979715368
0.05,7,0.018165489896485251,0.0097699994476663013
0.05,8,0.016777626535890836,0.0099568119307634935
0.05,9,0.013362949759556689,0.010236795372738082
0.06,0,0.014430860501912819,0.016473668638747392
0.06,1,0.010800591823455098,0.015835678080006389
0.06,2,0.015065717140451568,0.015792290280826314
0.06,3,0.012902493924485985,0.015749797445961809
0.06,4,0.016981226409185451,0.015798623791922442
0.06,5,0.010155141574003672,0.016085232544751141
0.06,6,0.013086032695217575,0.015470938991115932
0.06,7,0.014373861731638862,0.01524417258830213
0.06,8,0.01389131295221387,0.015423564378376199
0.06,9,0.013114012393494068,0.015842213327369889
0.07,0,0.013079175541555979,0.023076867271386602
0.07,1,0.0096205561650455108,0.02245941647027239
0.07,2,0.012867997029900446,0.022577269672560282
0.07,3,0.0098518650577842648,0.022423750414982551
0.07,4,0.012885698797693409,0.022240950048567389
0.07,5,0.010331207941876681,0.022892687356875357
0.07,6,0.0094369068851636283,0.022147352816309966
0.07,7,0.012858444143701138,0.022138697618405614
0.07,8,0.010634888167475107,0.022584989593701716
0.07,9,0.012057884229463613,0.022655483387944014
0.08,0,0.010620883774860569,0.029463421562818597
0.08,1,0.008544275834331528,0.029320922279548432
0.08,2,0.012436808179537956,0.029033413257236823
0.08,3,0.0095943992222052837,0.029367079317914577
0.08,4,0.0099785969044257766,0.028796672062228156
0.08,5,0.0089173786048753253,0.029266941924341847
0.08,6,0.0077959979799125476,0.028694106357940667
0.08,7,0.012260318372640208,0.029101315629109354
0.08,8,0.0095445599673756546,0.029127734963760497
0.08,9,0.0093774000160094257,0.029171761973050398
0.09,0,0.0098241400533004807,0.035763062315967376
0.09,1,0.0077332469545112062,0.036036858865940456
0.09,2,0.0092002601483877414,0.035779462057315164
0.09,3,0.0083122923704485995,0.035706823296050544
0.09,4,0.0077640403482979407,0.034972143593723283
0.09,5,0.0080762284700610712,0.03593356955351857
0.09,6,0.0070122900154755245,0.035463835163301156
0.09,7,0.009227894362856242,0.035284216901544867
0.09,8,0.0075605085293393671,0.035804650185310379
0.09,9,0.0083133951784167166,0.035675271404505361
0.1,0,0.0080716389512202735,0.042017681925476773
0.1,1,0.0070272138810416615,0.041841824589717587
0.1,2,0.0083438466067400751,0.041912292809114897
0.1,3,0.0077803900078081455,0.042023724215117103
0.1,4,0.0081829909169007717,0.04124216707345308
0.1,5,0.0077694282524077372,0.04201030478510577
0.1,6,0.0068228504170063254,0.041814826877523671
0.1,7,0.0087268505948924508,0.04119427898787531
0.1,8,0.0074352021819099516,0.041999619521171677
0.1,9,0.0071818242854992283,0.041625415099515908
0.11,0,0.0085850143029241217,0.047147685020326284
0.11,1,0.0065171016386800342,0.04680061451747116
0.11,2,0.0085834936584692021,0.04723001658298108
0.11,3,0.0080099605933027489,0.047319761623742213
0.11,4,0.0088779867157964439,0.04715561136558101
0.11,5,0.0060028098787924238,0.046955154225024512
0.11,6,0.0067782272252630074,0.047607162956702143
0.11,7,0.0084378214535719021,0.046516274303645327
0.11,8,0.006980545271922687,0.04723187093341924
0.11,9,0.0074407014948120109,0.047479049500762413
0.12,0,0.0072507604068053682,0.052064236930404351
0.12,1,0.0058127069962865749,0.051736010738126399
0.12,2,0.0082725121232202492,0.05210211366870833
0.12,3,0.0082353755257044206,0.052181262352827822
0.12,4,0.008348069278244925,0.051740067685178769
0.12,5,0.0063590583219071779,0.051810636333869196
0.12,6,0.0065136669930576626,0.052436067509960993
0.12,7,0.008024717329166561,0.051741604445044366
0.12,8,0.0080727607909308607,0.052032995593804594
0.12,9,0.0073319116860833108,0.052656888445546904
0.13,0,0.0079975202414993632,0.056048829156444005
0.13,1,0.0068153519951492224,0.055774203586514227
0.13,2,0.0081690814681834468,0.056079070559780869
0.13,3,0.0086815876069673299,0.056290274702645832
0.13,4,0.0077909311376800775,0.056042044745311034
0.13,5,0.0064331879920865049,0.056443140971455065
0.13,6,0.0074918498693116141,0.056231390163377366
0.13,7,0.0083558248301113767,0.056124038110830998
0.13,8,0.0073602708993824994,0.056306736339120651
0.13,9,0.006753885290596973,0.056842232433153755
0.14,0,0.0073369367048944619,0.06024534999067678
0.14,1,0.0072653271357838384,0.059787626632890306
0.14,2,0.0078861444107934196,0.059718281551007737
0.14,3,0.0084393175252091782,0.060082158457876858
0.14,4,0.0072805954099973208,0.059598176925982418
0.14,5,0.0066850716251488605,0.05997226958858233
0.14,6,0.008015405878146217,0.059937002980427291
0.14,7,0.0092685397187144501,0.059707466147269614
0.14,8,0.0068760749342949524,0.060047039141257322
0.14,9,0.0074504756761212499,0.060504781618268895
0.15,0,0.0071991973803233796,0.063561015983047919
0.15,1,0.0076380194339559998,0.062866495996213495
0.15,2,0.0082897535388772089,0.06294551986108371
0.15,3,0.0083777346648444689,0.063390106453254255
0.15,4,0.0075098177749371052,0.062682765419149106
0.15,5,0.006781517935961919,0.063205393793327624
0.15,6,0.0080985941416675169,0.062989705528689405
0.15,7,0.0090803293177950124,0.063010799266683112
0.15,8,0.0072483996213221907,0.063147694738969196
0.15,9,0.0084316501121871612,0.063893932538112944
0.16,0,0.0072934159478616825,0.066234010394679271
0.16,1,0.007414910773045914,0.065646851535933984
0.16,2,0.0080678637327760636,0.06607012501213215
0.16,3,0.0084434825496820104,0.066132257473624168
0.16,4,0.0072209906647640616,0.065815498817104703
0.16,5,0.0063346561325767345,0.06567478508030207
0.16,6,0.007530078516026004,0.065704686908682391
0.16,7,0.0091172247282365823,0.065658622018835086
0.16,8,0.0072778913930669417,0.065819367833023945
0.16,9,0.0078813601505868143,0.0664898326782975
0.17,0,0.007506693821986864,0.068807994827215793
0.17,1,0.0072468568373581684,0.068040243585564791
0.17,2,0.0075076538144301487,0.068358810175281809
0.17,3,0.0081164784504572686,0.068659437234719775
0.17,4,0.0067475129208604484,0.06835486156712714
0.17,5,0.006678524643382755,0.068187141048876854
0.17,6,0.0078780177353868601,0.0681539615466564
0.17,7,0.0084484135874780594,0.068345278393216996
0.17,8,0.0070638786668097706,0.06832484326145892
0.17,9,0.0074256800791762927,0.069080685902286554
0.18,0,0.0073035225511082083,0.07095233073403219
0.18,1,0.0069979725212296973,0.070365583476544924
0.18,2,0.0075660905579498896,0.070758698508535736
0.18,3,0.0076705443561059057,0.070924131345426675
0.18,4,0.0068733139836973248,0.070459168639929765
0.18,5,0.0065755076293311562,0.07029010592384384
0.18,6,0.0073880987993839324,0.070275208396726213
0.18,7,0.0086002807189015408,0.07047523216600643
0.18,8,0.0070870107890177768,0.070652517932250788
0.18,9,0.0072124863783828838,0.071230823186690911
0.19,0,0.0073380171896572227,0.072941574850918206
0.19,1,0.0064406346674932202,0.072478742427884282
0.19,2,0.0071980353795212879,0.072839964980489502
0.19,3,0.0074341678958511747,0.073142554701080414
0.19,4,0.0065453360219918611,0.072399132654709819
0.19,5,0.0065735080558303686,0.072022761549591849
0.19,6,0.0077613322394934235,0.072470677623707541
0.19,7,0.0082881075060376608,0.072695007947058077
0.19,8,0.0074294032130372339,0.072720051670079985
0.19,9,0.0065777533561044441,0.073096335658181799
0.2,0,0.0074283360161876153,0.074749186329409953
0.2,1,0.0073285191129210947,0.07458994907222001
0.2,2,0.0068966672184042604,0.074702467752897517
0.2,3,0.0069165216289595582,0.074622360218046246
0.2,4,0.0062945293186146643,0.074498327004339185
0.2,5,0.0063902023197822009,0.073928367223338051
0.2,6,0.0072894710199079378,0.074472355110520624
0.2,7,0.0084062077413183927,0.074543464107428736
0.2,8,0.0071673674775997237,0.074688650462608405
0.2,9,0.0066025286350152989,0.074742512924694346
