theta_cp value,KSIM avg.,KSIM_err,CLU avg,CLU_err
0.0,0.017330613140824406,0.005313217214543582,0.0031966965990229989,0.00012167818539991554
0.001,0.017338204327213249,0.0053208142223161552,0.0032240512376614811,9.8973061134431314e-05
0.002,0.017311896939726831,0.0052716329543588064,0.0032464753773250757,0.00013346960450965261
0.003,0.017641384856251271,0.0042494192057225899,0.0032790348379355808,0.00014691928167589194
0.004,0.018261908170218857,0.0032354583541733661,0.0033233443319107599,0.00015501298996107096
0.005,0.018620630914937871,0.0032533934250313533,0.0033601011938236367,0.00014652302877441251
0.006,0.020133187856817215,0.0017339208610825628,0.0033849046831764588,0.00013813524270882933
0.007,0.020762317461796496,0.00074193004849814649,0.0034114392642416659,0.00014343927524904424
0.008,0.021430169966905267,0.0017420224913301235,0.0034012857200471543,0.00012010788946790183
0.009000000000000001,0.022351981144081601,0.0022388241564444758,0.0034769366666878997,0.00011650840042650508
0.01,0.022948708712118182,0.0027449442804403576,0.0035008914048279128,0.00013572253504210395
0.011,0.023270840376769478,0.0032551565964007191,0.0035377924166099667,0.00010878903908242369
0.012,0.022175007328003645,0.0032226726381148953,0.0035928701603511679,9.8063238671846405e-05
0.013000000000000001,0.023532934087292522,0.0039147770937408514,0.0036758778425055785,9.2313976077102941e-05
0.014,0.024198641486801158,0.0041720929978723512,0.0037224396318719676,0.00010598240912872473
0.015,0.024721226708663956,0.0045680331113177892,0.0037786388193208043,8.8627940896372727e-05
0.016,0.023413262630418194,0.0038611885744102639,0.0038606540207945989,0.00010332347902040537
0.017,0.022999532054769137,0.0026521878491158942,0.0039581273905367068,9.3690191089134973e-05
0.018000000000000002,0.023057628457375145,0.002714623310835336,0.0040681959685982799,8.865238829789757e-05
0.019,0.023609040281799176,0.0033552827664615273,0.0041589503677169513,8.194260294886813e-05
0.02,0.024318398711282246,0.0024904437993586506,0.0042330892283936987,0.0001099926696588047
0.021,0.025280507229430926,0.0019598306856018852,0.0043231777853312246,9.9201863491749174e-05
0.022,0.02434144534321445,0.0014703203348809847,0.0044481501576049626,9.7509278069955914e-05
0.023,0.024708678577290661,0.0004853419763193971,0.0045229837533051426,0.00011101358551717129
0.024,0.024628421357734704,0.001002537728301698,0.0046451490301964949,7.7544067252374813e-05
0.025,0.025171675242190356,0.00093578338829865271,0.0047433409486216773,5.2455607330340395e-05
0.026000000000000002,0.024457157555236548,0.0010589109103025865,0.0048860928077996942,7.9789592012846113e-05
0.027,0.023584248049348028,0.0020845724065519239,0.0050495385717035232,4.5266714880583953e-05
0.028,0.022873363868354337,0.0034382625066158856,0.0051888396770619185,9.9911240209720007e-05
0.029,0.023446924016017969,0.0037423818319257205,0.0053871802287698278,8.9318116370636341e-05
0.03,0.022552102191128427,0.0021984717439916777,0.0055417190019185622,8.3666410237237011e-05
