Key,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
2000-0,0.987852052,0.046254367,0.683781323,0.764307748,0.744868907,0.649329795,0.626984102,0.710781078,0.657743451,0.638338333,0.708703533,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-1,0.98788201,0.045905616,0.683329234,0.764541107,0.744687216,0.646551109,0.626834254,0.710781078,0.654276764,0.638338333,0.708879681,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-2,0.987896989,0.052032313,0.683816099,0.764505205,0.744541863,0.652108481,0.626727219,0.710666286,0.656482838,0.638338333,0.708932526,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-3,0.988069247,0.055614866,0.684024755,0.764684712,0.744723554,0.64821832,0.626898474,0.71032191,0.657428298,0.638338333,0.708685918,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-4,0.988009331,0.05202815,0.684059531,0.764792416,0.745159614,0.649329795,0.626919881,0.711240247,0.659004065,0.638338333,0.708703533,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-5,0.987926947,0.044317753,0.68433774,0.764738564,0.744578201,0.647662583,0.626727219,0.710723682,0.658373758,0.638338333,0.708615459,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-6,0.987949415,0.05113157,0.683885651,0.764505205,0.744650878,0.645995371,0.626620184,0.711010663,0.657743451,0.638338333,0.708809222,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-7,0.988054268,0.055525954,0.683989979,0.764756515,0.745159614,0.646551109,0.626812847,0.711699416,0.659634371,0.638338333,0.708615459,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-8,0.98788201,0.041361826,0.684198636,0.764541107,0.744505525,0.644883897,0.626962695,0.710723682,0.659319218,0.638338333,0.708862066,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-9,0.987889499,0.042544061,0.684302964,0.764594959,0.744541863,0.64821832,0.626898474,0.710666286,0.657113144,0.638338333,0.708703533,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-10,0.987919457,0.04423995,0.684268188,0.764523156,0.744723554,0.645439634,0.626834254,0.710953267,0.657113144,0.638338333,0.708738762,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-11,0.987829584,0.037715685,0.683816099,0.764846268,0.744360171,0.644883897,0.626898474,0.710781078,0.657428298,0.638338333,0.708703533,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-12,0.988001842,0.052486921,0.683989979,0.764505205,0.744759893,0.647106846,0.626812847,0.710781078,0.654591918,0.638338333,0.708685918,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-13,0.987979373,0.048468335,0.684233412,0.76463086,0.744796231,0.647662583,0.62679144,0.709920137,0.659319218,0.638338333,0.708562614,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-14,0.987949415,0.044448953,0.684024755,0.764792416,0.745050599,0.645439634,0.626877067,0.710494098,0.657743451,0.638338333,0.708809222,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-15,0.987971884,0.046755099,0.684024755,0.764702663,0.745195952,0.644883897,0.627005509,0.710494098,0.660579831,0.638338333,0.708668303,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-16,0.987896989,0.043096237,0.68416386,0.76463086,0.744541863,0.64821832,0.626855661,0.71060889,0.658058605,0.638338333,0.708650688,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-17,0.987934436,0.047160651,0.683294458,0.764577008,0.744905246,0.645439634,0.626877067,0.71060889,0.658688911,0.638338333,0.708633073,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-18,0.988136652,0.05704019,0.684198636,0.764612909,0.745014261,0.649885532,0.626834254,0.710436702,0.657113144,0.638338333,0.708703533,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-19,0.987979373,0.050741758,0.683885651,0.764702663,0.744832569,0.64821832,0.626770033,0.710781078,0.658373758,0.638338333,0.708703533,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-20,0.987964394,0.044482843,0.684372516,0.764648811,0.744868907,0.647662583,0.626855661,0.709747949,0.659949525,0.638338333,0.708580229,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-21,0.988084226,0.057367488,0.684407292,0.764182093,0.744723554,0.647106846,0.62657737,0.710264514,0.655222224,0.638338333,0.708633073,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-22,0.987844562,0.044003147,0.683885651,0.764738564,0.744505525,0.645995371,0.626898474,0.711297643,0.658688911,0.638338333,0.709002985,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
2000-23,0.987896989,0.0458573,0.684407292,0.764936021,0.744650878,0.64432816,0.626941288,0.71164202,0.659634371,0.638338333,0.708650688,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
