Case study,Year,Var Par Value,Seed,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Madrid,2000,0.0,0,0.86560890429007087,0.1112898772379845,0.72562598424621028,0.81409859237252091,0.77381407553198478,0.58603160003479349,0.76571178606660151,0.81718992361970977,0.7910318383847742,0.81135542725407128,0.74406094849134141,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.0,1,0.8643105594481254,0.10618379964882749,0.72668420843381853,0.81366961041357688,0.77345217805283595,0.58100364375991242,0.76735380134939601,0.81672905788093597,0.78737585765669937,0.81383107781504149,0.74423532359030831,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.0,2,0.86483155132737732,0.10654933834628914,0.72446487715147334,0.81335133347629585,0.77019510074049657,0.57932765833495203,0.76617702373006003,0.81498800953445694,0.79257119869133208,0.81531646815162362,0.74436610491453359,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.0,3,0.86540216148084381,0.11047929328878506,0.72609630610736953,0.81411243050022863,0.7728490155875879,0.58100364375991242,0.76453500844726552,0.81718992361970977,0.79314845880629126,0.81680185848820563,0.74388657339237452,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.0,4,0.86475712391605553,0.10719264203471052,0.72665481331749615,0.81420929739418346,0.77345217805283595,0.58770758545975377,0.76658752755075876,0.81647302135939492,0.79584233934276749,0.81828724882478776,0.74449688623875865,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.001,0,0.86565852256428555,0.11124635131185456,0.72505277947792235,0.81340668598712729,0.77309028057368712,0.58603160003479349,0.76565705222384162,0.81698509440247691,0.7900697381931755,0.81135542725407128,0.74388657339237452,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.001,1,0.8644842234078759,0.10664967165698044,0.72537612575746935,0.81268710334631811,0.77369344303893517,0.58100364375991242,0.76716223289973673,0.81657543596801141,0.78641375746510067,0.81333594770284734,0.74393016716711624,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.001,2,0.86494732730054424,0.10676346439456358,0.7236418138944446,0.81238266453674524,0.76983320326134763,0.57932765833495203,0.76598545528040052,0.81427110727414209,0.7910318383847742,0.81383107781504149,0.74427891736505003,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.001,3,0.86567506198902333,0.11160608795114561,0.72549370622275922,0.81346203849795873,0.77260775060148879,0.58100364375991242,0.76448027460450563,0.81688267979386053,0.7910318383847742,0.81680185848820563,0.7436686045186659,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.001,4,0.86501348499949693,0.10815732949040795,0.7258464476186286,0.81330981909317246,0.77357281054588556,0.58770758545975377,0.76656016062937882,0.81626819214216217,0.79507265918948855,0.8187823789369818,0.7444096986892752,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.002,0,0.86571641055086868,0.11162321745879453,0.72428850645353859,0.81272861772944183,0.77321091306673673,0.58603160003479349,0.7654381168528025,0.81662664327231949,0.78872279792493749,0.81135542725407128,0.74358141696918245,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.002,1,0.86456692053156681,0.10654507284418396,0.72455306250044071,0.8120643875994642,0.77309028057368712,0.58100364375991242,0.76686119676455777,0.81647302135939492,0.78506681719686255,0.8128408175906533,0.74371219829340762,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.002,2,0.86492251816343702,0.10581793267413526,0.72284814575373835,0.81177378691759905,0.76971257076829802,0.57932765833495203,0.76565705222384162,0.81442472918706676,0.78853037788661784,0.81482133803942947,0.74419172981556658,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.002,3,0.86587353508588139,0.11246932855923869,0.72511156971056734,0.81308840904984658,0.77309028057368712,0.58100364375991242,0.76434343999760601,0.81657543596801141,0.79064699830813479,0.81680185848820563,0.74353782319444073,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.002,4,0.86512926097266418,0.10864456551711864,0.72480292098918153,0.81242417891986896,0.77345217805283595,0.58770758545975377,0.76647805986523898,0.81611457022923739,0.79411055899788996,0.8187823789369818,0.74419172981556658,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.003,0,0.86584872594877405,0.11195067629592678,0.72345074563834866,0.81200903508863265,0.77260775060148879,0.58603160003479349,0.76538338301004261,0.81616577753354569,0.78814553780997831,0.81185055736626521,0.74358141696918245,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,0.003,1,0.86468269650473395,0.10680752417719069,0.7239504626158304,0.81135864308636318,0.77333154555978634,0.58100364375991242,0.76669699523627821,0.81601215562062102,0.78295019677534561,0.81234568747845937,0.74358141696918245,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
