Case study,Year,Var Par Value,Seed,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Berlin,2000,0.005,0,0.92944015244752187,0.0093290093528798964,0.59582306776053318,0.73837557934453124,0.73652465082424268,0.69392729526925179,0.59343636042053216,0.70088630671720842,0.61487274171772133,0.62610856721043151,0.76012713595925929,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.005,1,0.92938870523822337,0.0098855276566090639,0.60208790513202337,0.73805253421246064,0.74870208292900464,0.69248534600322553,0.59550934264910826,0.70158191995740093,0.61424241887274211,0.62133421531527344,0.76012713595925929,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.005,2,0.92883993500570949,0.0068750856766506717,0.58595120281151858,0.73843176110663034,0.73652465082424268,0.69248534600322553,0.59317723764196029,0.70031716861159632,0.62747919861730483,0.62282620028251034,0.76008663513800068,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.005,3,0.92956019593588435,0.012604889114725817,0.58614104636823039,0.73843176110663034,0.7431668865177492,0.69290275236970666,0.59343636042053216,0.70120249455365957,0.61802435594261718,0.6216326123087208,0.76008663513800068,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.005,4,0.9300232208195679,0.019707653574828309,0.57778792987291017,0.73869862447660151,0.72988241513073615,0.69438264766904956,0.59317723764196029,0.7018664890102071,0.63210156614715218,0.62282620028251034,0.76004613431674217,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.03,0,0.93034905314512328,0.011023145758571537,0.44774509352531283,0.73426026527076449,0.72988241513073615,0.67430919604463035,0.58825390484909224,0.69620672673773132,0.60983015895788784,0.60701115962979924,0.75325549661905578,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.03,1,0.93008324256374908,0.0098181752935765625,0.44432790950450007,0.73477994657018209,0.72324017943722974,0.67446098017789635,0.58903127318480819,0.69579568255034485,0.61529295694770747,0.60909993858393074,0.75348500127285434,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.03,2,0.92994605000562069,0.0087467800563581707,0.4464161886283301,0.73560862756114531,0.70220643307445918,0.67453687224452918,0.58851302762766422,0.69655453335782758,0.60898972849791555,0.61118871753806248,0.7533634988090786,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.03,3,0.93010039163351532,0.0072677854547127376,0.45135212110283746,0.73539794595327335,0.7177049830259743,0.67461276431116213,0.58877215040623609,0.69582730133398996,0.60814929803794338,0.6049223806756675,0.75345800072534863,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.03,4,0.93089782337763738,0.01812002556156856,0.45230133888639656,0.73476590112965734,0.71216978661471886,0.67495427861101065,0.58825390484909224,0.6960802516031509,0.60415725335307524,0.60820474760358867,0.75343100017784304,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.055,0,0.92552159000597578,0.0051172077567262003,0.46236304739212308,0.68354217953570806,0.4165902982536801,0.64695010602344638,0.35478428135572027,0.67597070520485758,0.56360648365941468,0.58910734002295628,0.75154096185244312,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.055,1,0.9262932981454487,0.0040097504933808686,0.45419977445351473,0.6856349501739033,0.41105510184242466,0.64710189015671238,0.36825866584146422,0.6766979372286952,0.5591942237445604,0.5965672648591408,0.75094694980731735,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.055,2,0.92618182919196923,0.0078930764544384701,0.45875601981459846,0.68518549607710977,0.4077339839956714,0.64660859172359808,0.35012007134142425,0.67663469966140488,0.56402669888940071,0.59000253100329836,0.75120345500862173,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.055,3,0.92628472361056557,0.0072714597071932051,0.45647789713405662,0.68444108772929513,0.39002135547965416,0.6454702107241036,0.35685726358429626,0.6778678322235645,0.56150540750948408,0.59268810394432481,0.75140595911491459,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.055,4,0.92601033849430847,0.010294892882465033,0.46388179584581762,0.68323317984416243,0.3999847090199139,0.64573583295731896,0.34571498410570023,0.67739355046888772,0.56024476181952565,0.58731695806227202,0.75159496294745443,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.08,0,0.88287185349776953,-0.0030454329245093253,0.22904531619329513,0.62804864402221905,0.12433192773939465,0.54639311773476773,0.034249404262156405,0.66566298173654992,0.53356109471540714,0.57209871139645563,0.7435352995169997,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.08,1,0.88363498710235955,-0.0049510163652270629,0.23303203088424337,0.62931273366945106,0.14204455625541193,0.54358511126934794,0.033212913147868409,0.66569460052019491,0.53061958810550436,0.56971153544887643,0.74245527761677121,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.08,2,0.88241740314896877,-0.0074919550045711176,0.23455077933793794,0.62900373397790554,0.13097416343290114,0.54142218737030845,0.036322386490732411,0.66566298173654992,0.53209034141045575,0.57060672642921872,0.74377830444455106,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.08,3,0.88366071070700891,-0.0029582518413014259,0.23322187444095521,0.62750087184175185,0.12433192773939465,0.54893550196697194,0.033212913147868409,0.66509384363093782,0.5316701261804696,0.5715019174095608,0.7436028008857638,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.08,4,0.88306049326519642,-0.0014236002032220936,0.2358796842349207,0.62830146195166547,0.15643606692467601,0.54146013340362487,0.033990281483584413,0.66537841268374387,0.53482174040536545,0.57120352041611333,0.7435352995169997,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.105,0,0.83091017210658991,-0.010953714715213059,0.12596026489877638,0.52282020361040971,0.070087002909091659,0.30964781587323309,0.032435544812152405,0.66541003146738897,0.529569050030539,0.56881634446853435,0.73771668152951875,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.105,1,0.83219635233904499,-0.0097578272469647613,0.13431338139409649,0.52356461195822412,0.088906670707360039,0.31313885093834948,0.032435544812152405,0.66484089336177687,0.5259972205756569,0.56971153544887643,0.73736567441194456,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.105,2,0.83109881187401657,-0.0091907898163674211,0.12330245510481087,0.52234265863256646,0.095548906400866523,0.30972370793986609,0.031917299255008406,0.66503060606364761,0.52767808149560147,0.57060672642921872,0.73756817851823742,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.105,3,0.83106451373448453,-0.0099327564891301349,0.11893605330043899,0.52135947779583047,0.071194042191342746,0.31211430803880447,0.029585194247860408,0.66455632430897082,0.52872861957056672,0.57090512342266597,0.73721717140066312,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,0.105,4,0.83095304478100507,-0.010527724354773844,0.12596026489877638,0.52169656836842559,0.086692592142857877,0.30934424760670121,0.031399053697864415,0.66487251214542198,0.52893872718555979,0.56702596250785009,0.7371496700318988,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2006,0.005,0,0.96540349832525518,0.013105251564033174,0.53859944398925996,0.73692745947392946,0.80985918223853481,0.68984417874807413,0.60753129259251837,0.69600286874021089,0.64386690046279749,0.62204483972330493,0.75830897520305596,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.005,1,0.96541204067134767,0.015669901623101595,0.54156937860266241,0.73701235809931442,0.83320980898117092,0.68999343563991822,0.60598787632743278,0.69537177650176429,0.64406878997500661,0.62476394159579907,0.75838996180803664,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.005,2,0.96515577028857191,0.012491179153219976,0.53287171294912661,0.73739440191354644,0.82209046291324894,0.69003074986287927,0.60951568493334263,0.6953402218898419,0.64245367387733232,0.62449203140854959,0.75830897520305596,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.005,3,0.96542058301744027,0.010969901147189669,0.54029654948263284,0.73709725672469939,0.81653078987928795,0.68917252273477592,0.60686982847891024,0.69537177650176429,0.64406878997500661,0.61687854616556592,0.75832247297055266,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.005,4,0.96556580290101324,0.014975208619330141,0.54093296404264768,0.73665861382687725,0.80985918223853481,0.69021732097768429,0.60753129259251837,0.69587665029252166,0.6434631214383788,0.62394821103405085,0.758362966273043,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.03,0,0.9654889217861804,0.0020665933368444766,0.56066181540310678,0.73606432344918271,0.77316534021439232,0.67831408385312164,0.52815559895954456,0.69552954956137603,0.64326123192616946,0.61986955822530942,0.75718866050082501,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.03,1,0.96547183709399531,0.00041857802872005819,0.56193464452313646,0.73637561840892751,0.78873242470948302,0.67827676963016059,0.52705315877019765,0.69527711266599723,0.64326123192616946,0.61986955822530942,0.75720215826832193,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.03,2,0.96507034682764647,-0.0010041155138351483,0.5566311898563463,0.73670106313956973,0.78762049010269086,0.67794094162351148,0.52881706307315268,0.69543488572560896,0.64326123192616946,0.61986955822530942,0.75724265157081205,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.03,3,0.96523265140340475,-0.0048313070877348332,0.56087395358977854,0.73583792711482299,0.78206081706872999,0.67835139807608269,0.52462779035363449,0.69508778499446333,0.6434631214383788,0.61851000728906247,0.75722915380331535,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.03,4,0.96540349832525518,0.0014232905327169287,0.56320747364316615,0.73592282574020795,0.78317275167552214,0.67782899895462845,0.53146291952758518,0.69559265878522059,0.64305934241396012,0.61742236654006477,0.75724265157081205,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.055,0,0.96298601438106923,-0.0078463500005995068,0.52502260004227719,0.71592919946205946,0.42512980828843561,0.66999301213281615,0.43378671875145342,0.692531861428754,0.62004393802210012,0.60491449792659135,0.75401668513908704,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.055,1,0.96206344100307606,-0.0072663344154155103,0.49808105033498351,0.71737247609360311,0.41401046222051369,0.67062735392315331,0.43929891969818768,0.69268963448836562,0.62004393802210012,0.6087212405480833,0.75324731239177189,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.055,2,0.96204635631089108,-0.0064504836442642478,0.50762726873520569,0.71677818571590857,0.42068206986126688,0.67014226902466023,0.42629012546389472,0.69256341604067628,0.61600614777791418,0.61171225260782691,0.75354426327670054,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.055,3,0.96215740681009398,-0.0094447931618760732,0.50189953769507245,0.71776866967873265,0.44403269660390293,0.67032884013946525,0.43665306324375519,0.69256341604067628,0.61701559533896078,0.60736168961183612,0.7539626940691001,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.055,4,0.96223428792492682,-0.0047971296254859328,0.50805154510854889,0.71676403594501104,0.43180141592918875,0.67017958324762117,0.42408524508520101,0.69246875220490933,0.62287039119303034,0.60137966549234889,0.75390870299911306,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.08,0,0.9168402607892242,-0.0037776332990735167,0.26875967054297895,0.66097148929622151,0.10711651074586809,0.5897674327666419,0.055870221843350276,0.69224786992145293,0.60833434631396088,0.57989876069964463,0.74552658938362637,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.08,1,0.91718195463292529,-0.0046154139065412289,0.26303193950284559,0.66075924273275921,0.12935520288171198,0.59055103144882315,0.056311197919089027,0.69221631530953065,0.60651734070407715,0.57826729957614809,0.74404183495898302,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.08,2,0.91699402301888977,-0.0045127674028959657,0.262819801316174,0.66107053769250401,0.11712392220699784,0.58913309097630462,0.056311197919089027,0.69221631530953065,0.60712300924070506,0.57881111995064694,0.74516214966121397,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.08,3,0.91731008982431317,-0.0043199151409556973,0.27215388152972458,0.65983950762442267,0.11156424917303687,0.59096148790139413,0.053885829502525934,0.69218476069760826,0.60772867777733297,0.57908303013789642,0.74510815859122692,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.08,4,0.91751510613053411,-0.0043582751260230063,0.27300243427641108,0.66157992944481336,0.13269100670208855,0.58670766648383887,0.050798996972354724,0.69221631530953065,0.60833434631396088,0.57853920976339757,0.74558058045361342,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.105,0,0.86864434413517211,-0.0066719112842297673,0.14805304232683592,0.57393624850578162,0.069310734114933492,0.3696135172966753,0.032278001791327504,0.69215320608568587,0.60611356167965846,0.57717965882715039,0.73965506052253671,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.105,1,0.86899458032496568,-0.0070694750665099169,0.14996228600688033,0.57290331523026494,0.064862995687764713,0.37256134091059517,0.038451666851669911,0.69218476069760826,0.60591167216744934,0.57826729957614809,0.73839976814533836,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.105,2,0.86802075287041747,-0.0061905977253285931,0.14105248216667296,0.57307311248103487,0.069310734114933492,0.37188968489729696,0.038892642927408655,0.69221631530953065,0.60611356167965846,0.57881111995064694,0.73896667438020214,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,0.105,3,0.86870414055781964,-0.0072759353859022727,0.14890159507352232,0.57375230148411427,0.059303322653803739,0.37524796496378798,0.041979475457579858,0.69209009686184131,0.60591167216744934,0.57772347920164924,0.73931761633511794,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
