Case study,Year,Var Par Value,Seed,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Budapest,2000,0.0,0,0.90331948638778303,0.069613818491771479,0.55662398585947337,0.72185238934322371,0.69361037389486901,0.60390011336597127,0.54394481877474954,0.72868271639261728,0.60925610083702975,0.62802152540709921,0.74878962984003761,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.0,1,0.90295952443190741,0.069037206765386494,0.55253600109598022,0.72210335714134422,0.69511833178621418,0.60434237423032189,0.54394481877474954,0.72864249740601683,0.61187561301018933,0.62869539945527475,0.74899582166233036,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.0,2,0.903099997390298,0.068046791256412636,0.55577232236707896,0.72170180866435163,0.69361037389486901,0.6052821785670669,0.54312926945210072,0.72864249740601683,0.60750975938825658,0.62757227604164889,0.74901873186480727,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.0,3,0.90316145430959394,0.069360555381462421,0.55526132427164221,0.72305703477420147,0.69319911265177492,0.60511633074293547,0.54383607886506302,0.72896424929882131,0.60860122279373974,0.62824615008982443,0.74883545024499143,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.0,4,0.90321413166899001,0.069187872593186275,0.55321733188989575,0.72271822824673893,0.69210241600352396,0.60655367855207498,0.54405355868443606,0.72840118348641336,0.60947439351812627,0.62824615008982443,0.74885836044746845,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.001,0,0.90321413166899001,0.069395860977661164,0.55571554480091934,0.72168926027444558,0.69333619973280636,0.60279446120509472,0.54410792863927926,0.72872293537921784,0.60925610083702975,0.62802152540709921,0.7486521686251757,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.001,1,0.90269613763492529,0.067141018638597935,0.55157078247126656,0.72211590553125016,0.69525541886724562,0.60417652640619035,0.54427103850380909,0.72852184044621504,0.61253049105347912,0.62869539945527475,0.74883545024499143,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.001,2,0.90301220179130381,0.067999792111428092,0.55560198966859997,0.72172690544416351,0.69182824184146108,0.60439765683836566,0.54318363940694392,0.7285620594328156,0.60750975938825658,0.62757227604164889,0.74899582166233036,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.001,3,0.90315267474969452,0.069631169400873369,0.55406899538229004,0.72274332502655103,0.69114280643630432,0.60439765683836566,0.54389044881990634,0.72896424929882131,0.60860122279373974,0.62824615008982443,0.74862925842269878,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.001,4,0.90321413166899001,0.06979168851669279,0.55225211326518209,0.72250490561833658,0.69127989351733554,0.60544802639119844,0.54394481877474954,0.72852184044621504,0.60860122279373974,0.62847077477254953,0.74883545024499143,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.002,0,0.90301220179130404,0.068422462880681129,0.55452321591156717,0.72143829247632518,0.69333619973280636,0.60251804816487564,0.54427103850380909,0.72868271639261728,0.61056585692360943,0.62802152540709921,0.74849179720783698,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.002,1,0.90267857851512656,0.067965176948429296,0.5485047938986467,0.72190258290284781,0.69415872221899455,0.60340256989357677,0.54405355868443606,0.72848162145961459,0.61340366177786565,0.62892002413799986,0.74858343801774496,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.002,2,0.90307365871059997,0.068989835375407288,0.55543165697012109,0.72142574408641924,0.69018319686908469,0.60417652640619035,0.54323800936178712,0.7285620594328156,0.60750975938825658,0.62757227604164889,0.74874380943508367,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.002,3,0.90301220179130404,0.06903224683366796,0.55310377675757649,0.72249235722843064,0.69018319686908469,0.60395539597401504,0.54394481877474954,0.72896424929882131,0.60860122279373974,0.62802152540709921,0.74830851558802125,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.002,4,0.90313511562989568,0.069405537943004816,0.55225211326518209,0.7222539378202163,0.69086863227424145,0.60483991770271639,0.54399918872959285,0.72852184044621504,0.60816463743154658,0.62869539945527475,0.74876671963756058,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2000,0.003,0,0.90287172883291367,0.068092364473978553,0.55174111516974544,0.72101164721952071,0.69182824184146108,0.60141239600399898,0.54427103850380909,0.72880337335241907,0.6103475642425128,0.62802152540709921,0.74823978498059029,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
