Case study,Year,Seed,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Madrid,2000,0,0.87026475235386336,0.11177249803165432,0.71333882562342443,0.79209596931701276,0.75451287664404743,0.58519360732231329,0.76155201401685546,0.79834563563429051,0.68077515642756947,0.79798691422483226,0.74005032121510284,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,1,0.8697272210498731,0.10884115345767628,0.71571983004554318,0.79248343689283307,0.75909691137993252,0.57848966562247184,0.76272879163619145,0.79906253789460535,0.67673433562285523,0.79204535287850375,0.74083500916045386,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,2,0.87000012155805273,0.11070599757960842,0.71320654759997337,0.79195758803993421,0.75427161165794832,0.57848966562247184,0.76215408628721348,0.7978847698955166,0.68789469784539947,0.79006483242972758,0.73935282081923526,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,3,0.87124057841341496,0.11800360843289348,0.71555815690576963,0.7924142462542938,0.75632236403979158,0.57765167290999175,0.76136044556719595,0.80167411041432379,0.66172557263391629,0.80046256478580247,0.73978875856665249,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,4,0.87025648264149424,0.11199489521876323,0.71367686946113262,0.79187455927368722,0.75716679149113886,0.58603160003479349,0.76267405779343156,0.79896012328598898,0.6801978963126103,0.79699665400044406,0.74066063406148697,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,5,0.86911526233456116,0.10719075809908457,0.71524950818438393,0.79269100880845111,0.76054450129652784,0.57848966562247184,0.7623730216582526,0.79839684293859869,0.68385387704068512,0.79551126366386193,0.74009391498984467,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,6,0.86951220852827693,0.10913532930969672,0.71355928899584276,0.79219283621096792,0.75994133883127979,0.57681368019751156,0.76185305015203442,0.79962581824199563,0.66807543389846735,0.79897717444922034,0.74066063406148697,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,7,0.86932200514378821,0.10632533780869061,0.71292729399491006,0.79139022480391175,0.75740805647723797,0.57597568748503136,0.76226355397273315,0.79936978172045459,0.67346319497141982,0.80293821534677257,0.73922203949501009,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,8,0.86937989313037167,0.10965859836589389,0.71457342050896744,0.79367351587570956,0.75716679149113886,0.57597568748503136,0.76196251783755398,0.80034272050231048,0.68654775757716135,0.79650152388825013,0.73991953989087766,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,9,0.87017378551780333,0.1113122111093377,0.71664577620970038,0.79292625697948482,0.76030323631042862,0.57681368019751156,0.76155201401685546,0.79911374519891354,0.67865853600605253,0.79798691422483226,0.73991953989087766,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,10,0.87024821292912524,0.11298022227435899,0.71307426957652231,0.79181920676285567,0.75837311642163496,0.57932765833495203,0.7617162155451348,0.80054754971954334,0.67808127589109335,0.80145282501019044,0.73991953989087766,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,11,0.87081055337022284,0.11390870060507424,0.71479388388138587,0.79202677867847349,0.75246212426220416,0.5826796291848727,0.76168884862375486,0.79901133059029705,0.66749817378350818,0.79105509265411567,0.7410965718089042,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,12,0.87037225861466139,0.11208128785423729,0.71447053760183887,0.79253878940366451,0.75740805647723797,0.58100364375991242,0.76177094938789469,0.79711666033089357,0.67423287512469865,0.78758918186875737,0.73930922704449353,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,13,0.87003320040752896,0.11303958367609655,0.7143823522528715,0.79320301953364214,0.75451287664404743,0.57765167290999175,0.76152464709547552,0.80075237893677609,0.67711917569949465,0.79055996254192162,0.73952719591820215,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,14,0.87064515912284102,0.11453357191988878,0.71370626457745501,0.79148709169786691,0.75632236403979158,0.57346170934759089,0.7627561585575714,0.80003547667646124,0.67192383466486194,0.80046256478580247,0.74026829008881145,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,15,0.87034744947755416,0.11397717435701778,0.71377975236826119,0.793645839620294,0.75571920157454353,0.5843556146098331,0.76218145320859332,0.80136686658847456,0.6886643779986783,0.79848204433702619,0.73930922704449353,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
Madrid,2000,16,0.8692475777324663,0.10996605161563686,0.71316245492548969,0.79318918140593442,0.75957944135213096,0.57848966562247184,0.76196251783755398,0.80003547667646124,0.67904337608269183,0.79996743467360831,0.74048625896252007,0.41834079587456324,0.0,0.90717691359044828,0.62629655376592763,0.53430947658353178,0.0
