Var Par Value,Seed,KSIM,AWACE
0.12,9,0.10915093869515441,0.052909126870876025
0.13,0,0.10697936497724204,0.055508748516496564
0.13,1,0.10491048307216051,0.055479131883477452
0.13,2,0.10284891548133622,0.05556888011894167
0.13,3,0.10575194911161319,0.05515536797431507
0.13,4,0.1082999091137675,0.055087187557464799
0.13,5,0.10458147883809363,0.055366112320472061
0.13,6,0.10532366972219262,0.055254735071608482
0.13,7,0.10347228480428096,0.055360136824872078
0.13,8,0.10729844237464284,0.05539908106358863
0.13,9,0.1086258868671912,0.055798310807351495
0.14,0,0.10476375436013288,0.057925805706175788
0.14,1,0.10408876281584158,0.058082538650470542
0.14,2,0.1021464346461248,0.058040482546190174
0.14,3,0.10483485934020662,0.057591053794600659
0.14,4,0.10724566894426152,0.057921132227411534
0.14,5,0.10260175673674751,0.057716298514576797
0.14,6,0.10439707175088248,0.05758702130527777
0.14,7,0.10411550901075708,0.057666911468214448
0.14,8,0.10482844773153618,0.057823261816116141
0.14,9,0.10777460755461725,0.058342759775068954
0.15,0,0.1051091512592458,0.059789454967396544
0.15,1,0.10321213416759886,0.06002545068080245
0.15,2,0.10274021954353767,0.059664837125115083
0.15,3,0.10472986744186365,0.059602194081272014
0.15,4,0.10608550304016739,0.059829459908968818
0.15,5,0.10357770228527122,0.059863987148650426
0.15,6,0.10315155847359751,0.05988414657562173
0.15,7,0.10591339375366378,0.059786028377250319
0.15,8,0.10441811052805192,0.059716168366222497
0.15,9,0.10806730786344096,0.060426102510827834
0.16,0,0.1047229877489777,0.061470374033355049
0.16,1,0.1047028675010776,0.061783814461705285
0.16,2,0.10293492260677768,0.061359886679002239
0.16,3,0.10465221379864478,0.061598681364844379
0.16,4,0.10549776025426696,0.061462963497206057
0.16,5,0.1026197239992413,0.061397706360177141
0.16,6,0.10256968912761523,0.061899761762077753
0.16,7,0.10406465619875839,0.061697570142228632
0.16,8,0.10428012044387559,0.061531717228812191
0.16,9,0.1075640103233764,0.061829473408033152
0.17,0,0.10508729395463262,0.062934434766993078
0.17,1,0.10382361209232553,0.06324627859564215
0.17,2,0.10132692835742509,0.062787529662561917
0.17,3,0.10260812866702185,0.06299424053463934
0.17,4,0.10379666788436884,0.062920565931340391
0.17,5,0.10157182252308036,0.06300876354921689
0.17,6,0.10132109835543952,0.063077101260767668
0.17,7,0.1032454785143283,0.063283241318676312
0.17,8,0.10445319132596609,0.062972947104103463
0.17,9,0.10671551958989811,0.063227693058306569
0.18,0,0.10508110870157497,0.064297328665081324
0.18,1,0.10458170698618634,0.064021446434032084
0.18,2,0.10202605556900175,0.064401370374931835
0.18,3,0.10197369589387102,0.064547723573612367
0.18,4,0.10402547687686681,0.064161619858129695
0.18,5,0.10222639261579622,0.063970081525323519
0.18,6,0.10059325119482758,0.064371989096915772
0.18,7,0.10262178794795317,0.064281803458997241
0.18,8,0.10532474048819229,0.06397637735269375
0.18,9,0.10608546162115295,0.064414306806006363
0.19,0,0.10164847508135214,0.065430803874751586
0.19,1,0.10505978048076133,0.065263954380710046
0.19,2,0.10046574771451758,0.06556431369411797
0.19,3,0.10140202574758007,0.065544586832105969
0.19,4,0.1028815200511968,0.065301521485478048
0.19,5,0.10272110447982395,0.065246690418070602
0.19,6,0.099287398526870296,0.065382992786745989
0.19,7,0.10051762416887866,0.064926789145139413
0.19,8,0.10686412544062457,0.065109191043182538
0.19,9,0.10435329202899941,0.065839937738068233
0.2,0,0.10144463628589291,0.066409055769790615
0.2,1,0.10301003451410809,0.066340419821791244
0.2,2,0.099750558089797756,0.066563617058341046
0.2,3,0.10180864263723786,0.066420441318204931
0.2,4,0.10110351799470443,0.066427224200649448
0.2,5,0.1025973886737795,0.066358063373300427
0.2,6,0.099333697746364344,0.066492917480073577
0.2,7,0.10084855025081761,0.065968766755259325
0.2,8,0.10556133461941947,0.066285925257473371
0.2,9,0.10394441628191801,0.066564118600708336
