theta_ct value,KSIM avg.,KSIM_err,CLU avg,CLU_err
0.001,0.10753853166144951,0.0043627408179237465,0.010550971842279622,0.00036583840132066621
0.002,0.10772866686640918,0.0043609552597884196,0.010123050370816643,0.00041757753786122054
0.003,0.10778747941988387,0.0040410461375044796,0.0096888562513783132,0.00040592991573632376
0.004,0.10822332315080707,0.0042439181404088783,0.0092131950401186623,0.00034863178702427156
0.005,0.10828194888711343,0.0037208171137200624,0.0087109173275597366,0.00037185122775908446
0.006,0.10853309323712998,0.0031971944710058459,0.0083606651994769035,0.00026577715311655939
0.007,0.1087127016337784,0.0036324907242324261,0.0083729259519514931,0.00030949093486164984
0.008,0.1091455229890423,0.0035959506076181508,0.008430321339045083,0.00034789831870937846
0.009000000000000001,0.10952800773393315,0.0045046406879010667,0.0085111545247284447,0.00037015885519256324
0.01,0.10999164095595615,0.0041749621848775689,0.0085263313581615957,0.0003572443691675373
0.011,0.10991447652486655,0.0055079001796543917,0.0084773085472670991,0.00031742585444998264
0.012,0.11018665658210336,0.0051500839940939319,0.0084495750928928921,0.00039511841151121992
0.013000000000000001,0.1104940387413299,0.0058391353121014372,0.0085316938733582641,0.00040765501616230482
0.014,0.11029926764395097,0.0058317755894454135,0.0088662647814384474,0.00052023012204276478
0.015,0.11016009335214269,0.0059134338142167661,0.0091974931736324463,0.0005412126683301691
0.016,0.1098348961880892,0.0053695471087386593,0.0095205387255404249,0.00060062157269985539
0.017,0.10964083166735572,0.0048187423319365902,0.0098708952499928053,0.00070385896854054282
0.018000000000000002,0.10936181799811992,0.0044522104880580157,0.010210527365531829,0.00070905163341002109
0.019,0.10846548799389129,0.0057446430473281282,0.010406702439997813,0.0007660214565409643
0.02,0.10747942290826203,0.0052901947598462395,0.010596231990081693,0.00059234835342324415
0.021,0.10690481100299946,0.0048529421425396319,0.010809576229063712,0.00067770951698422743
0.022,0.10598024097903749,0.0042622421329179885,0.011672301309283749,0.00097931552205262305
0.023,0.10487249820427788,0.0039476339764729224,0.012660944094905735,0.00085800107249930143
0.024,0.10374661335494961,0.0045137230496301028,0.013648624162006417,0.00087574251896213162
0.025,0.10203063821624611,0.0048814356961805611,0.014686384690283914,0.00082877426409012998
0.026000000000000002,0.10038854491357803,0.0043983206314307174,0.015644955497332337,0.0009142945410322437
0.027,0.097880705107017893,0.004877629478888118,0.016559043430857408,0.00091056517799075788
0.028,0.095465253110243967,0.0050335587785409405,0.01754822610101086,0.00094134534466283962
0.029,0.093053267929632505,0.0047106701425118011,0.018853728437907329,0.00084301581268901582
0.03,0.09113014472330018,0.0038632738424434696,0.020184617149398426,0.00082796805037755293
0.031,0.088963663259781695,0.0035578742539946195,0.021453778069780046,0.00085860607803704518
0.032,0.086168650178596776,0.0046443427606918108,0.022868896868015048,0.00070236893858373686
0.033,0.083477504565546271,0.005510553119722747,0.024414012963482355,0.00066051981379027999
0.034,0.080634612176725157,0.0045785925348088563,0.026097225473134457,0.00069216104194116945
0.035,0.077837144629769886,0.0044583922872961507,0.027991535456845806,0.00055804379071769557
0.036000000000000004,0.074761143867122473,0.0055042980690674162,0.030348335023543376,0.00065754853125714677
0.037,0.071471097010021564,0.0048029880002585165,0.033132591582888206,0.00067674920670928937
0.038,0.067631137343206277,0.0039337171503623647,0.036434002655226283,0.00075755581890508614
0.039,0.063848381487386932,0.0038949027413707343,0.040248175988406909,0.00073440176525749884
0.04,0.059958227842929389,0.0036316337497196843,0.044561548846210677,0.00086590713751133475
0.041,0.055653943701924412,0.0024340221486740567,0.049863455149756319,0.0012074202951416584
0.042,0.051546885148114563,0.0027219336082306596,0.055658752229366337,0.0012543873420765989
0.043000000000000003,0.047363871365938684,0.002589134735417966,0.06214642018609258,0.0015883322026780493
0.044,0.042867466675579093,0.0029360781294087285,0.069271649195178003,0.0015619137529682553
0.045,0.039181789857061014,0.0016737637037300968,0.07726977199161951,0.0015032624465260852
0.046,0.035262231974497224,0.0019334453317390518,0.08589216841402815,0.0014533352164556451
0.047,0.03077919719304343,0.0022542665701117803,0.09522665547790235,0.0013389217749501872
0.048,0.026733215841523321,0.0032388456397060023,0.10468683168016921,0.0013294191609765915
0.049,0.023192156360530125,0.0032424053768394107,0.11427296326217776,0.00089880930605987924
0.05,0.020196709839794165,0.0032379670141456183,0.12392560946505875,0.0010807697564393995
