Case study,Year,Seed,Kappa,KSIM,AAWCE
Madrid,2000,0,0.8659562322095723,0.11265242778144365,0.013475944841296229
Madrid,2000,1,0.86491424845106801,0.10742866204545501,0.01353285922816292
Madrid,2000,2,0.86536081291899847,0.10770656831451046,0.013223793337669151
Madrid,2000,3,0.8660471990456321,0.11270834991968549,0.013549273421460914
Madrid,2000,4,0.86546831917979661,0.10964388431345276,0.013593544689000165
Madrid,2000,5,0.86503002442423504,0.10719456766733175,0.013924358325418495
Madrid,2000,6,0.8655592860158563,0.11009165265879159,0.013261393625479156
Madrid,2000,7,0.86472404506657918,0.1051842666832197,0.013169396171472669
Madrid,2000,8,0.86488116960159167,0.10468053976751635,0.013956596512539617
Madrid,2000,9,0.86571641055086868,0.11027414245286804,0.013847944623731198
Madrid,2000,10,0.86602238990852476,0.11332798677293611,0.012963944943750375
Madrid,2000,11,0.86598931105904853,0.11342539090228702,0.012875040052229735
Madrid,2000,12,0.86635317840328807,0.1145859512222909,0.013663205967694568
Madrid,2000,13,0.86518714895924753,0.10884712045398358,0.013553220089482641
Madrid,2000,14,0.86576602882508358,0.11213448679563846,0.013449566711350929
Madrid,2000,15,0.86568333170139267,0.10990676691684569,0.013688718231365801
Madrid,2000,16,0.86527811579530756,0.10967815725544212,0.01339365889124958
Madrid,2000,17,0.86538562205610559,0.11145354369758195,0.013556270102710051
Madrid,2000,18,0.86654338178777712,0.11425374761471598,0.013916807135958309
Madrid,2000,19,0.86574948940034524,0.11090448736324551,0.01364095831783684
Madrid,2000,20,0.86504656384897349,0.10778454508492961,0.013217886762307327
Madrid,2000,21,0.86548485860453428,0.10821726074748225,0.013412645281503838
Madrid,2000,22,0.86546831917979661,0.10824147721191747,0.013666443670239545
Madrid,2000,23,0.86559236486533275,0.11000114394806849,0.01330847281073385
Madrid,2000,24,0.86586526537351227,0.11009719347492447,0.013319929761121091
Madrid,2000,25,0.86526157637056944,0.10698608280204161,0.013572527764507595
Madrid,2000,26,0.86572468026323801,0.10890809029610495,0.013626231797796751
Madrid,2000,27,0.86540216148084403,0.10922153532445747,0.013110473168856945
Madrid,2000,28,0.86482328161500832,0.10683986628001116,0.013149448998847412
Madrid,2000,29,0.86506310327371161,0.10765558257365743,0.013545870511407028
Madrid,2000,30,0.86525330665820044,0.10999253560764681,0.013327846845390465
Madrid,2000,31,0.86573294997560701,0.11128388864214482,0.013283558717700103
Madrid,2000,32,0.86541043119321281,0.11114941860939792,0.013250357263940705
Madrid,2000,33,0.86592315336009584,0.1135921168466352,0.013398746762197385
Madrid,2000,34,0.86464961765525739,0.10542559903135845,0.013177450962374366
Madrid,2000,35,0.86535254320662935,0.10986978681812277,0.013846151132756609
Madrid,2000,36,0.86584045623640515,0.11173341257322619,0.013493630785797737
Madrid,2000,37,0.86549312831690373,0.10850189612969015,0.013334003952131664
Madrid,2000,38,0.86457519024393581,0.10640091774982763,0.013735251762680445
Madrid,2000,39,0.86604719904563232,0.11320524649679106,0.013455431261921892
Madrid,2000,40,0.86587353508588116,0.11083989590236909,0.013229174942618428
Madrid,2000,41,0.8647405844913173,0.10457716970835192,0.013547787209735103
Madrid,2000,42,0.86641106638987198,0.11392954944609671,0.013599310586145634
Madrid,2000,43,0.86554274659111807,0.11164574767016433,0.013185549187942505
Madrid,2000,44,0.86483982103974644,0.10660270833930935,0.012963538041394548
Madrid,2000,45,0.86583218652403615,0.11214618481381779,0.013334127960014732
Madrid,2000,46,0.86531946435715279,0.11079784788774465,0.013389946585918256
Madrid,2000,47,0.86599758077141764,0.11302161862636195,0.013767267651720663
Madrid,2000,48,0.86452557196972113,0.10454697988569447,0.013277652668454919
Madrid,2000,49,0.86527811579530756,0.10884146187611224,0.013604491899873261
Madrid,2006,0,0.90686512784492979,0.051332304930422006,0.011205278488033672
Madrid,2006,1,0.90646579211377842,0.050109880381673813,0.011462190589417219
Madrid,2006,2,0.90647394182257734,0.046927348865110838,0.011130077642915267
Madrid,2006,3,0.90651469036657262,0.049224039651406676,0.011467253186604328
Madrid,2006,4,0.90635984589939145,0.049553090459160239,0.011618822096406394
Madrid,2006,5,0.90687327755372882,0.053769896327650203,0.011323906040926536
Madrid,2006,6,0.90624574997620522,0.046865451947088695,0.011032761613854986
Madrid,2006,7,0.90684882842733183,0.0510369935912326,0.011237295114789487
Madrid,2006,8,0.90672658279534657,0.052326763452404362,0.01187784204585
Madrid,2006,9,0.90719111619688997,0.055105337842530668,0.011412432953549637
Madrid,2006,10,0.90679993017453764,0.052952096578344834,0.010697737080867086
Madrid,2006,11,0.90698737347691494,0.052434965527014099,0.011249822786902874
Madrid,2006,12,0.90631094764659725,0.047543425921047169,0.011257373423445183
Madrid,2006,13,0.90646579211377831,0.050447125364920492,0.011356895333237518
Madrid,2006,14,0.90596051016823975,0.048054334343277334,0.01101923311727049
Madrid,2006,15,0.90666138512495464,0.049595515727004033,0.011335228997236062
Madrid,2006,16,0.90679993017453764,0.052488769421801557,0.011275919091592266
Madrid,2006,17,0.9063516961905923,0.048994925094623068,0.011306419338663597
Madrid,2006,18,0.90666953483375357,0.048445213696823849,0.011284703897405136
Madrid,2006,19,0.90624574997620522,0.04769394441835513,0.011067446247530695
Madrid,2006,20,0.90620500143221028,0.049200509782406428,0.010958813414548739
Madrid,2006,21,0.90652284007537143,0.048986335897680644,0.011135859055228901
Madrid,2006,22,0.90662063658095959,0.04916529864698882,0.011326577160704223
Madrid,2006,23,0.90622945055860726,0.049122684448110424,0.011194214021479087
Madrid,2006,24,0.90702812202090999,0.051477640916970019,0.011113233553742431
Madrid,2006,25,0.90673473250414571,0.051015469503512149,0.011274890658468933
Madrid,2006,26,0.90661248687216067,0.050514001551302021,0.011072963491607444
Madrid,2006,27,0.90649839094897444,0.048981867685370967,0.011322742814838209
Madrid,2006,28,0.90632724706419532,0.049810235671447781,0.01154398300249204
Madrid,2006,29,0.90649839094897444,0.049564088329620504,0.011419648574499791
Madrid,2006,30,0.90615610317941597,0.049588100853315026,0.011355358649325624
Madrid,2006,31,0.90593606104184288,0.045311857974037667,0.010932391822168442
Madrid,2006,32,0.90624574997620522,0.049054253175057891,0.011245910913639455
Madrid,2006,33,0.90635984589939134,0.04915506636291668,0.011224592259316267
Madrid,2006,34,0.90637614531698929,0.051276158648921814,0.011616120905041369
Madrid,2006,35,0.90639244473458747,0.047976142963618365,0.011678779456389204
