theta_si value,KSIM avg.,KSIM_err,CLU avg,CLU_err
0.025,0.10258620726729591,0.0045497531287823634,0.018089612297672326,0.00042551386799366889
0.026000000000000002,0.10315313122257694,0.0041764516211781066,0.017198019687143001,0.00033951251617585221
0.027,0.10353009535626123,0.0042981881331248875,0.016454368414319524,0.00032837663423022218
0.028,0.10386667084330362,0.003834012762740098,0.015985230082242896,0.00021113587893836945
0.029,0.10436590998172546,0.0042035532102732628,0.015506493783309577,0.00035429816706479544
0.03,0.10450261966734324,0.004630590714042683,0.015000304520033609,0.00037427665536607976
0.031,0.10507940671532515,0.0050743156652360358,0.014531967948598517,0.00043267046940548368
0.032,0.10559662872205086,0.0043893790719552392,0.013947371204163336,0.00028557893701391945
0.033,0.10570790167984934,0.0040843513103726234,0.013407076618437725,0.00027677706389264787
0.034,0.10597106156388818,0.0044784325762205757,0.012821004554091348,0.00024820845786611458
0.035,0.10633365115091072,0.0042005473868656912,0.012298128956372032,0.00026060203793972642
0.036000000000000004,0.10659289487064297,0.0039346290922140578,0.011750786951785894,0.00036554923294162579
0.037,0.10701580316947561,0.0035880092053921855,0.011233842611827057,0.00032706645975328665
0.038,0.10732221566883163,0.0038386295960331149,0.010726631788863305,0.00031760722413674402
0.039,0.10779744658324275,0.0037562086850095669,0.010210890498390329,0.00035569074810546525
0.04,0.10801165413004206,0.0037526494649650702,0.0097519139735165964,0.00040544228440838551
0.041,0.10818208391167601,0.0035692995152492787,0.0093132139330733572,0.00032786000143711618
0.042,0.10810627293623179,0.0037667543866551564,0.0088634885072962737,0.0003568308838709823
0.043000000000000003,0.10825786466197243,0.0039191722010260138,0.0086926678503803072,0.00026999225361706933
0.044,0.10839400771897682,0.0033365968847241384,0.0093187713491571771,0.00035007424501643566
0.045,0.10884692828493261,0.0035245798610580442,0.010032685101109138,0.00043628801072440136
0.046,0.10895627977848758,0.0033803149599133317,0.010769338070896863,0.00051851666672369894
0.047,0.10883973964653579,0.0037586470464601313,0.011499665507070577,0.00048363832093811527
0.048,0.10878902791811713,0.0037962976745920737,0.012208824050368831,0.00040239226330234662
0.049,0.10882837295129733,0.0036723778411196853,0.012908326421873974,0.00042386037016741221
0.05,0.10875650616042747,0.0040139050760845743,0.013553510477623052,0.00039360017053347365
0.051000000000000004,0.10864540813453272,0.0044514740965178254,0.014207210329539702,0.00041720225724479251
0.052000000000000005,0.10868798844548141,0.0047864572341636685,0.014875582604671301,0.00046987692467622549
0.053,0.10855691646309137,0.004700623798376484,0.015522435063043568,0.00048113932936999851
0.054,0.10810905944072742,0.0046931913579608894,0.016180236734430354,0.00056138392859556106
0.055,0.10813240344040149,0.0048218440057614179,0.016833709242398583,0.00054027918127833897
